Title,Discipline1,Discipline2,More
Advances in Astronomy and Space Physics,Astronomia,Fizyka,
Advances in Colloid and Interface Science,Chemia fizyczna,,
Advances in Condensed Matter Physics,Fizyka materii skondensowanej,,
Advances in Differential Equations,Matematyka,Matematyka stosowana,
Advances in Experimental Medicine and Biology,Biologia,Medycyna,
Advances in Intelligent Systems and Computing,Informatyka,Kognitywistyka,
Advances in Mathematics,Matematyka,,
Advances in Meteorology,Meteorologia,,
Advances in Pediatric Research,Medycyna,Genetyka,Pediatria
Advances in Quantum Chemistry,Chemia fizyczna,,
Advances in Science and Technology research journal,Informatyka,Mechanika,Inżynieria produkcji
Advances in Space Research,Astronomia,Geofizyka,
Aegean Review of the Law of the Sea and Maritime Law,Prawo,,
Aequationes Mathematicae,Matematyka,Matematyka stosowana,
Africana Bulletin,Geografia,Kulturoznawstwo,Historia i archiwistyka;Gospodarka i planowanie
Afryka: biuletyn Polskiego Towarzystwa Afrykanistycznego,Geografia,Kulturoznawstwo,
AGH Managerial Economics,Ekonomia,Organizacja i zarządzanie,
Agor?,,,
Agricultural Economics and Rural Development,Rolnictwo,Ekonomia,
Agriculture (Pol'nohospodárstvo),Rolnictwo,,
"Agriculture, Ecosystems and Environment",Rolnictwo,Ekologia,
Agroh?m?â ? Gruntoznavstvo,,,
Agrokémia és Talajtan,Rolnictwo,Chemia,Mikrobiologia
AIP Conference Proceedings,Fizyka,,
Akapit. Rocznik Towarzystwa Bibliofilów Polskich w Warszawie,Bibliotekoznawstwo i informacja naukowa,Filologia,
Akcjonariusz : kwartalnik Stowarzyszenia Inwestorów Indywidualnych,Ekonomia,Giełda,
Akdeniz Üniversitesi Iktisadi ve Idari Bilimler,Ekonomia,Administracja,
Akta Towarzystwa Historyczno-Literackiego w Paryżu,Literaturoznawstwo,Historia i archiwistyka,
Aktual'n? Problemi M?žnarodnih V?dnosin,,,
Aktualne Problemy Konserwatorskie Gdańska,Architektura,Sztuka,
Aktuelle Analysen,Stosunki międzynarodowe,Nauki o polityce,
Algebra and Discrete Mathematics,Matematyka,,
Algebra Colloquium,Matematyka,Matematyka stosowana,
Algebra Universalis,Matematyka,,
Algebras and Representation Theory,Matematyka,,
Algorithmica,Matematyka,Informatyka,Inżynieria oprogramowania
"Alimentación, Equipos y Tecnología",Rolnictwo,Technologia żywności i żywienia,
Allelopathy Journal,Ekologia,Botanika,Chemia;Rolnictwo;Leśnictwo
Alma Mater / Akademia Medyczna w Lublinie,Nauka,,
Ambra (Szombathely),Literaturoznawstwo,,
American Biotechnology Laboratory,Biotechnologia,,
American Journal of Ophthalmology,Okulistyka,,
American Journal of Physical Anthropology,Biologia ewolucyjna,,
American Journal of Physiology - GASTROINTESTINAL AND LIVER PHYSIOLOGY,Fizjologia,Medycyna,Gastrologia;Hepatologia
American Journal of Physiology - REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,Fizjologia,,
American Naturalist,Ekologia,Biologia ewolucyjna,
American Philosophical Association Newsletter,Filozofia,,
American Studies,Historia i archiwistyka,Kulturoznawstwo,
Amerikastudien (Heidelberg),Literaturoznawstwo,Językoznawstwo,Historia i archiwistyka;Nauki o polityce
Amicus (Łódź),Edukacja,,
Analecta Nipponica: journal of Polish Association for Japanase Studies,Filologia,Historia i archiwistyka,Kulturoznawstwo;Literaturoznawstwo;Religioznawstwo
Analecta: studia i materiały z dziejów nauki,Historia i archiwistyka,Sztuka,Kulturoznawstwo;Pedagogika;Nauka
"Analele Ştiinţifice ale Universitătii ""Al. I. Cuza din Iasi-Serie Noua-Matematica",Matematyka,,
Analele Stiintifice ale Universitatii Al. I. Cuza din laşi. Lingvistică,Filologia,,
Anales de la Fundación Francisco Elías de Tejada,Kulturoznawstwo,,
Analiza i Egzystencja,Filozofia,,
Analusis,Chemia analityczna,,
Analyst,Chemia analityczna,,
Analytica Chimica Acta,Chemia analityczna,,
Analytical and Bioanalytical Chemistry,Chemia analityczna,Biochemia,
Analytical Biochemistry,Chemia analityczna,Biologia molekularna,Biochemia;Biologia
Analytical Chemistry,Chemia analityczna,,
Analytical Letters,Chemia analityczna,,
Analytical Methods,Chemia analityczna,Technologia żywności i żywienia,Spektroskopia
Analytical Sciences,Chemia analityczna,,
Anatolian studies : journal of the British Institute of Archaeology at Ankara,Archeologia,,
"Anatomia, Histologia, Embryologia",Anatomia,Weterynaria,
Anatomical Record,Anatomia,Morfologia,
Ancient TL,Archeologia,Geologia,
Angelicum,Reliogioznawstwa i teologia,,
Angewandte Chemie a journal of the Gesellschaft,Chemia,,
Angewandte Makromolekulare Chemie,Polimery,,
Anglica. An International Journal of English Studies,Językoznawstwo,Kulturoznawstwo,Literaturoznawstwo
Animal Biology,Zoologia,,
Annalen der Physik,Fizyka,,
Annales / Centre Scientifique de l'Académie,Nauka,,
Annales Academiae Paedagogicae Cracoviensis. Studia Zoologica,Zoologia,,
Annales de l'Institut Henri Poincaré. Probabilités et statistiques,Matematyka,,
Annales Geophysicae,Astronomia,Nauka o Ziemi,Meteorologia
Annales Universitatis Apulensis. Series Jurisprudentia,Prawo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio A. Mathematica,Matematyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AA.Chemia,Chemia,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AAA. Physica,Fizyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AI. Informatica,Informatyka,,
"Annales Universitatis Mariae Curie-Skłodowska. Sectio B Geographia, Geologia, Mineralogia et Petrographia",Geografia,Geologia,Minearologia
Annales Universitatis Mariae Curie-Skłodowska. Sectio C. Biologia,Biologia,Ekologia,
Annales Universitatis Mariae Curie-Skłodowska. Sectio DD. Medicina Veterinaria,Weterynaria,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio E. Agricultura,Rolnictwo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio EE. Zootechnica,Zootechnika,Biologia,
Annales Universitatis Mariae Curie-Skłodowska. Sectio EEE. Horticultura,Ogrodnictwo i sadownictwo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio F. Historia,Historia i archiwistyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio FF. Philologiae,Filologia,Językoznawstwo,Literaturoznawstwo
Annales Universitatis Mariae Curie-Skłodowska. Sectio G. Ius,Prawo,Administracja,
Annales Universitatis Mariae Curie-Skłodowska. Sectio H. Oeconomia,Ekonomia,Finanse,
Annales Universitatis Mariae Curie-Skłodowska. Sectio I. Philosophia-Sociologia,Filozofia,Socjologia,
Annales Universitatis Mariae Curie-Skłodowska. Sectio J. Paedagogia-Psychologia,Pedagogika,Psychologia,
Annales Universitatis Mariae Curie-Skłodowska. Sectio K. Politologia,Nauki polityczne,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio L. Artes,Sztuka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio M. Balcaniensis et Carpathiensis,Nauki polityczne,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio N. Educatio Nova,Pedagogika,,
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Bibliothecarum Scientiam Pertinentia,Bibliotekoznawstwo i informacja naukowa,Literaturoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Didacticam Biologiae Pertinentia,Biologia,Pedagogika,
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Didacticam Litterarum Polonarum et Linguae Polonae,Językoznawstwo,Literaturoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Didacticam Mathematicae Pertinentia,Matematyka,Pedagogika,
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Institutionem et Educationem Pertinentia,Pedagogika,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Anglica,Filologia,Literaturoznawstwo,Językoznawstwo
Annales Universitatis Paedagogicae Cracoviensis. Studia de Arte et Educatione,Sztuka,,
Annales Universitatis Paedagogicae Cracoviensis. Studia de Cultura,Kulturoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia de Securitate et Educatione Civili,Pedagogika,Nauki o bezpieczeństwie,
Annales Universitatis Paedagogicae Cracoviensis. Studia Geographica,Geografia,Pedagogika,
Annales Universitatis Paedagogicae Cracoviensis. Studia Historicolitteraria,Literaturoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Linguistica,Językoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Logopaedica,Logopedia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Mathematica,Matematyka,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Naturae,Biologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Paedagogica,Pedagogika,Psychologia,
Annales Universitatis Paedagogicae Cracoviensis. Studia Philosophica,Filozofia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Poetica,Filologia,Literaturoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia Politologica,Nauki polityczne,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica,Psychologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Romanica,Filologia,Językoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia Russologica,Językoznawstwo,Literaturoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia Sociologica,Socjologia,Kulturoznawstwo,
Annales Universitatis Paedagogicae Cracoviensis. Studia Technica,Nauki techniczne,Pedagogika,
Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. Sectio Mathematica,Matematyka,,
Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. Sectio philosophica et sociologica (CEASED),Filozofia,Socjologia,
Annales Universitatis Scientiarum Budapestinensis. Sectio linguistica,Językoznawstwo,,
Annales Zoologici Fennici,Ekologia,Zoologia,
Annales. Etyka w życiu gospodarczym,Filozofia,Ekonomia,
Annali della Pontificia Insigne Accademia di Belle Arti e Lettere dei Virtuosi al Pantheon,Reliogioznawstwa i teologia,Sztuka,
Annals of Anatomy - ANATOMISCHER ANZEIGER ,Anatomia,,
Annals of Botany,Botanika,,
Annals of Glaciology,Geografia,Geologia,Nauka o Ziemi
Annals of Human Biology,Biologia,Zdrowie i bezpieczeństwo publiczne,
Annals of Mathematics,Matematyka,,
Annals of Microbiology,Biotechnologia,Mikrobiologia,
Annals of Nutrition and Metabolism,Endokrynologia,Dietetyka,Odżywianie
Annals of Physics (New York),Fizyka,,
Annals of Probability,Statystyka i prawdopodobieństwo,,
Annals of Pure and Applied Logic,Matematyka,Matematyka stosowana,
Annals of Telecommunications,Telekomunikacja,,
Annals of the Institute of Statistical Mathematics,Statystyka i prawdopodobieństwo,,
Annals of the Polish Chemical Society: preliminary reports presented during Annual Meeting of the Polish Chemical Society.,Chemia,,
Annals of Warsaw University of Life Sciences - SGGW. Agriculture,Rolnictwo,Leśnictwo,
Annals of Warsaw University of Life Sciences - SGGW. Animal Science,Zoologia,Zootechnika,
Annals of Warsaw University of Life Sciences - SGGW. Forestry and Wood Technology,Leśnictwo,,
Annals of Warsaw University of Life Sciences - SGGW. Horticulture and Landscape Architecture,Ogrodnictwo i sadownictwo,Architektura,
Annals of Warsaw University of Life Sciences - SGGW. Land Reclamation,Rolnictwo,Budownictwo,Inżynieria środowiska
Annual Magazine of ASSITEJ = Roczny Magazyn ASSITEJ,,,
Annual Report / Institute of Nuclear Chemistry and and Technology.,Chemia,,
Annual Reports on NMR Spectroscopy,Spektroskopia,,
Annual Review of Analytical Chemistry,Chemia analityczna,Spektroskopia,
Annuario The Albanian Yearbook of Historical and anthropological studies,Historia i archiwistyka,Kulturoznawstwo,Cywilizacja
Ansichten Jahrbuch des Deutschen Polen-Instituts Darmstadt,Stosunki międzynarodowe,,
Antarctic Science,Geografia fizyczna,Nauka o środowisku,Nauka o Ziemi
Anthropological Notebooks,Antropologia kulturowa,,
Anthropologie international journal of the Science of Man,Antropologia kulturowa,,
Anthropologischer Anzeiger,Antropologia kulturowa,,
Anthropos: prace Instytutu Filozofii UMCS,Filozofia,,
Anti-Cancer Drug Design,Biochemia,Medycyna,Onkologia;Chemia;Biologia;Farmacja
Anti-Cancer Drugs,Onkologia,Farmacja,
Anticancer Research,Onkologia,,
Antimicrobial Agents and Chemotherapy,Mikrobiologia,Farmacja,
Antiquité Classique,Filozofia,Historia i archiwistyka,
Antiquity,Antropologia kulturowa,,
Antonie van Leeuwenhoek international journal of general and molecular microbiology,Mikrobiologia,,
Antropomotoryka,Kultura fizyczna i sport,,
Anuario de Derecho Marítimo,Prawo,,
Anuario de Historia de la Iglesia,Reliogioznawstwa i teologia,,
Anuario Filosófico,Filozofia,Etyka,
Anzeiger des Germanischen Nationalmuseums,Sztuka,,
Anzeiger für die Altertumswissenschaft,Archeologia,Historia i archiwistyka,Literaturoznawstwo
Apelacja Gdańska / Prokuratura Apelacyjna w Gdańsku,Prawo,,
Apla: biuletyn informacyjny Archiwum Państwowego w Lublinie,Historia i archiwistyka,,
Applicable Analysis,Matematyka stosowana,,
Applications of Surface Science,Geologia,Nauki przyrodnicze,
Applied Biochemistry and Biotechnology,Biochemia,Biologia,"Biotechnologia, Mikrobiologia"
Applied Biochemistry and Microbiology,Biotechnologia,Mikrobiologia,
Applied Catalysis. A - General,Chemia fizyczna,Nauki o środowisku,
Applied Catalysis. B - Environmental,Chemia fizyczna,Inżynieria chemiczna,Inżynieria środowiska
Applied Clay Science,Minearologia,Chemia fizyczna,Materiałoznawstwo
Applied Entomology and Zoology,Entomologia,,
Applied Geomatics,Nauka o ziemi,Geografia,Geodezja
Applied Immunohistochemistry and Molecular Morphology,Anatomia,Technologia medyczna,Patologia
Applied Mathematics and Computation,Matematyka stosowana,,
Applied Mathematics and Computer Science,Matematyka stosowana,Sztuczna inteligencja,Automatyka;Informatyka
Applied Microbiology and Biotechnology,Biotechnologia,Mikrobiologia,
Applied Nursing Research,Pielęgniarstwo,,
Applied Optics,Optyka,,
Applied Physics Letters,Fizyka stosowana,,
Applied Physics. A - Materials Science & Processing,Fizyka stosowana,Materiałoznawstwo,
Applied Physics. B Lasers and Optics,Fizyka stosowana,Optyka,
Applied Soil Ecology,Gleboznawstwo,,
Applied Spectroscopy,Spektroskopia,Biotechnologia,
Applied Surface Science,Chemia fizyczna,Fizyka stosowana,Materiałoznawstwo;Fizyka materii skondensowanej
Applied Theatre Researcher/IDEA Journal,Teatr i film,Sztuka,Literaturoznawstwo
Aquatic Ecology,Ekologia,Hydrobiologia,Limnologia
Arabian Journal for Science and Engineering,Multidyscyplinarny,,
Arbok for Rana,Geografia,Kulturoznawstwo,
Archaeofauna,Biologia,Historia i archiwistyka,Weterynaria
Archaeologia Baltica,Archeologia,,
Archaeologia Medii Aevi Finlandiae,Archeologia,Historia i archiwistyka,
Archaeological Textiles Review,Archeologia,,
Archaeometry,Chemia anlityczna,Chemia nieorganiczna,Nauka o Ziemi;Chemia jądrowa
Archäologisches Korrespondenzblatt,Archeologia,,
ARCHE Pačatak,Archeologia,,
Archeus. Studia z Bioetyki i Antropologii Filozoficznej,Etyka,Filozofia,
Architectura: Zeitschrift für Geschichte der Baukunst,Architektura,,
"Architecture, Civil Engineering, Environment",Ekologia,Archiktektura,"Biotechnologia, Budownictwo;Inżynieria środowiska"
Archiv der Mathematik (Basel),Matematyka,,
Archiv des Völkerrechts,Prawo,,
Archiv für Hydrobiologie. Beiheft Ergebnisse der Limnologie.,Limnologia,Hydrologia,Hydrobiologia
Archiv für Hydrobiologie. Supplementband,Biologia,Hydrologia,
Archiv für Papyrusforschung und Verwandte Gebiete,Papirologia,Filologia,
Archiv für Rechts- und Sozialphilosophie,Prawo,Filozofia,Socjologia
Archiv für Reformationsgeschichte,Historia i archiwistyka,Reliogioznawstwa i teologia,
Archiv für Reformationsgeschichte. Beiheft Literaturbericht.,Historia i archiwistyka,Sztuka,
Archiv of Dermatological Research,Dermatologia,,
Archive for Rational Mechanics and Analysis,Matematyka stosowana,Mechanika,
Archives of Biological Sciences,Biologia,,
Archives of Microbiology,Mikrobiologia,,
Archives of Ophthalmology,Okulistyka,,
Archivní Časopis,Historia i archiwistyka,,
Archivum Iuridicum Cracoviense,Filozofia,Prawo,
"Archiwa, Kancelarie, Zbiory",Historia i archiwistyka,Kulturoznawstwo,
"Archiwum Emigracji. Studia, szkice, dokumenty",Filologia,Historia i archiwistyka,Literaturoznawstwo
Archiwum Ochrony Środowiska,Nauki o środowisku,,
"Arctic, Antarctic and Alpine Research",Nauki o środowisku,Geografia fizyczna,
Argument: Biannual Philosophical Journal,Filozofia,Kulturoznawstwo,Literaturoznawstwo;Reliogioznawstwa i teologia;Socjologia
Argumentation,Językoznawstwo,Komunikacja społeczna,
Arkivoc (Archive for Organic Chemistry),Chemia organiczna,,
Arsenał Poznański,Wojskowość i policja,,
Art & Business : gazeta aukcyjna,Sztuka,,
Art and Business: Polish art and antiques,Sztuka,,
Art+Media časopis za studije umetnosti i medija.,Sztuka,Dziennikarstwo i media,
Arte Medievale,Sztuka,,
Arteon magazyn o sztuce,Sztuka,,
Artifex. Pismo Koła Naukowego Studentów Historii,Sztuka,,
Artificial Intelligence in Medicine,Informatyka,Informatyka medyczna,Sztuczna inteligencja
Artluk sztuka na spad,Sztuka,Kulturoznawstwo,Architektura
Artyleria w Operacji i Walce: studia i materiały,Sztuka,Wojskowość i policja,
Artylerzysta: czasopismo Stowarzyszenia Polskich Artylerzystów,Wojskowość i policja,,
Asia Pacific Journal of Marketing and Logistics,Organizacja i zarządzanie,,
"Asian Conference on Ethics, Religion and Philosophy",,,
Asian Journal of Control,Automatyka,Informatyka,
"Ask. Społeczeństwo, badania, metody",Socjologia,Nauki polityczne,
Aspekty Filozoficzno-Prozatorskie,Filozofia,Literaturoznawstwo,
Astrobiology,Astronomia,Biologia,Nauka o Ziemi
Astronomer's Telegram,Astronomia,,
Astronomical Journal,Astronomia,Astrofizyka,
Astronomical Society of the Pacific. Conference Series,Astronomia,Astrofizyka,
Astronomische Nachrichten,Astronomia,Astrofizyka,
Astronomy and Astrophysics,Astronomia,Astrofizyka,
Astronomy and Astrophysics. Supplement Series,Astronomia,Astrofizyka,
Astronomy Letters,Astronomia,Astrofizyka,
Astroparticle Physics,Astronomia,Fizyka,Astrofizyka
Astrophysical Journal,Astronomia,Astrofizyka,
Astrophysical Journal Letters,Astronomia,Astrofizyka,
Astrophysical Journal. Supplement Series,Astronomia,Astrofizyka,
Astrophysics and Space Science,Astronomia,Astrofizyka,
