Title1,Title2,DisciplinesString
AAPS Journal,AAPS Journal,nauki farmaceutyczne;nauki medyczne;weterynaria
AAPS PHARMSCITECH,AAPS PharmSciTech,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
AATCC Journal of Research,AATCC Journal of Research,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne
AATCC REVIEW,,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,Ab Imperio,historia;nauki o kulturze i religii;nauki o polityce i administracji
Abacus-A Journal of Accounting Finance and Business Studies,Abacus,ekonomia i finanse;nauki o zarządzaniu i jakości
Abakos,,inżynieria biomedyczna;inżynieria biomedyczna
Abanico Veterinario,,zootechnika i rybactwo;zootechnika i rybactwo
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Abdominal Radiology,Abdominal Radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
ABE Journal,,architektura i urbanistyka;architektura i urbanistyka
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,matematyka;matematyka
Aboriginal History,,historia;nauki o kulturze i religii;nauki socjologiczne
Aboriginal Policy Studies,,nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,,historia;nauki o kulturze i religii;nauki o sztuce
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,nauki farmaceutyczne;weterynaria;nauki chemiczne
Academia y Virtualidad,,nauki socjologiczne;pedagogika
Academia-Revista Latinoamericana de Administracion,Academia Revista Latinoamericana de Administracion,nauki o polityce i administracji;nauki prawne
ACADEMIC EMERGENCY MEDICINE,Academic Emergency Medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Academic Journal of Modern Philology,,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
ACADEMIC MEDICINE,Academic Medicine,nauki o kulturze i religii;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Academic Pathology,Academic Pathology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Academic Pediatrics,Academic Pediatrics,nauki medyczne;nauki o zdrowiu
ACADEMIC PSYCHIATRY,Academic Psychiatry,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACADEMIC RADIOLOGY,Academic Radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Academy of Management Annals,Academy of Management Annals,nauki o kulturze fizycznej;nauki o zarządzaniu i jakości
Academy of Management Discoveries,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
ACADEMY OF MANAGEMENT JOURNAL,Academy of Management Journal,inżynieria mechaniczna;nauki o zarządzaniu i jakości
Academy of Management Learning & Education,Academy of Management Learning and Education,nauki o zarządzaniu i jakości;pedagogika
Academy of Management Perspectives,Academy of Management Perspectives,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
ACADEMY OF MANAGEMENT REVIEW,Academy of Management Review,inżynieria mechaniczna;nauki o zarządzaniu i jakości
ACADIENSIS,Acadiensis,historia;nauki o bezpieczeństwie
ACAROLOGIA,Acarologia,nauki o zdrowiu;nauki leśne;weterynaria;zootechnika i rybactwo;nauki biologiczne
ACCIDENT ANALYSIS AND PREVENTION,Accident Analysis and Prevention,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki socjologiczne
Accion Psicologica,,psychologia;psychologia
Accountability in Research-Policies and Quality Assurance,Accountability in Research,filozofia;inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu;nauki o komunikacji społecznej i mediach;nauki socjologiczne
ACCOUNTING AND BUSINESS RESEARCH,Accounting and Business Research,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting and Finance,Accounting and Finance,ekonomia i finanse;nauki o zarządzaniu i jakości
Accounting Auditing & Accountability Journal,"Accounting, Auditing and Accountability Journal",nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting Economics and Law-A Convivium,"Accounting, Economics and Law",ekonomia i finanse;nauki o zarządzaniu i jakości;nauki prawne
Accounting Education,Accounting Education,nauki o zarządzaniu i jakości;pedagogika
Accounting Forum,Accounting Forum,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting Historians Journal,Accounting Historians Journal,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting History,Accounting History,historia;nauki o zarządzaniu i jakości
Accounting History Review,Accounting History Review,historia;nauki o zarządzaniu i jakości
Accounting Horizons,Accounting Horizons,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting in Europe,Accounting in Europe,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
ACCOUNTING ORGANIZATIONS AND SOCIETY,"Accounting, Organizations and Society",nauki o zarządzaniu i jakości;nauki socjologiczne
Accounting Perspectives,Accounting Perspectives,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Accounting Research Journal,Accounting Research Journal,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
ACCOUNTING REVIEW,Accounting Review,ekonomia i finanse;nauki o zarządzaniu i jakości
ACCOUNTS OF CHEMICAL RESEARCH,Accounts of Chemical Research,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;nauki chemiczne
ACCREDITATION AND QUALITY ASSURANCE,Accreditation and Quality Assurance,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki o zarządzaniu i jakości
ACE-Architecture City and Environment,"Architecture, City and Environment","architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna"
Acesso Livre,,nauki o komunikacji społecznej i mediach;nauki o komunikacji społecznej i mediach
ACG Case Reports Journal,ACG Case Reports Journal,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki chemiczne
ACI MATERIALS JOURNAL,ACI Materials Journal,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki chemiczne"
ACI STRUCTURAL JOURNAL,ACI Structural Journal,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki chemiczne"
ACM Communications in Computer Algebra,ACM Communications in Computer Algebra,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria mechaniczna;informatyka;matematyka"
ACM COMPUTING SURVEYS,ACM Computing Surveys,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
ACM Journal of Data and Information Quality,Journal of Data and Information Quality,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
ACM Journal on Computing and Cultural Heritage,Journal of Computing and Cultural Heritage,archeologia;historia;nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria lądowa i transport;nauki o zarządzaniu i jakości;nauki socjologiczne;informatyka
ACM Journal on Emerging Technologies in Computing Systems,ACM Journal on Emerging Technologies in Computing Systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;nauki o zarządzaniu i jakości;informatyka
ACM SIGCOMM Computer Communication Review,Computer Communication Review,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
ACM Transactions on Accessible Computing,ACM Transactions on Accessible Computing,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
ACM Transactions on Algorithms,ACM Transactions on Algorithms,informatyka techniczna i telekomunikacja;informatyka;matematyka
ACM Transactions on Applied Perception,ACM Transactions on Applied Perception,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;psychologia;informatyka
ACM Transactions on Architecture and Code Optimization,Transactions on Architecture and Code Optimization,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM Transactions on Asian and Low-Resource Language Information Processing,informatyka techniczna i telekomunikacja;inżynieria mechaniczna;informatyka
ACM Transactions on Autonomous and Adaptive Systems,ACM Transactions on Autonomous and Adaptive Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
ACM Transactions on Computation Theory,ACM Transactions on Computation Theory,informatyka techniczna i telekomunikacja;informatyka
ACM Transactions on Computational Logic,ACM Transactions on Computational Logic,"filozofia;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach;informatyka"
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM Transactions on Computer Systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
ACM Transactions on Computer-Human Interaction,ACM Transactions on Computer-Human Interaction,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;nauki socjologiczne;informatyka"
ACM Transactions on Computing Education,ACM Transactions on Computing Education,informatyka techniczna i telekomunikacja;informatyka
ACM Transactions on Cyber-Physical Systems,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM Transactions on Database Systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM Transactions on Design Automation of Electronic Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
ACM Transactions on Economics and Computation,ACM Transactions on Economics and Computation,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o zarządzaniu i jakości;informatyka"
ACM Transactions on Embedded Computing Systems,Transactions on Embedded Computing Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
ACM TRANSACTIONS ON GRAPHICS,ACM Transactions on Graphics,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM Transactions on Information Systems,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Intelligent Systems and Technology,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;informatyka"
ACM Transactions on Interactive Intelligent Systems,Transactions on Interactive Intelligent Systems,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki socjologiczne;informatyka"
ACM Transactions on Internet Technology,ACM Transactions on Internet Technology,architektura i urbanistyka;informatyka techniczna i telekomunikacja;informatyka
ACM Transactions on Knowledge Discovery from Data,ACM Transactions on Knowledge Discovery from Data,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki o zarządzaniu i jakości;informatyka
ACM Transactions on Management Information Systems,ACM Transactions on Management Information Systems,architektura i urbanistyka;informatyka techniczna i telekomunikacja;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM Transactions on Mathematical Software,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
ACM Transactions on Modeling and Computer Simulation,ACM Transactions on Modeling and Computer Simulation,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości;informatyka;matematyka"
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
ACM Transactions on Multimedia Computing Communications and Applications,"ACM Transactions on Multimedia Computing, Communications and Applications","architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
ACM Transactions on Parallel Computing,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
ACM Transactions on Privacy and Security,ACM Transactions on Privacy and Security,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria lądowa i transport;informatyka
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM Transactions on Programming Languages and Systems,informatyka techniczna i telekomunikacja;informatyka
ACM Transactions on Reconfigurable Technology and Systems,ACM Transactions on Reconfigurable Technology and Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
ACM Transactions on Sensor Networks,ACM Transactions on Sensor Networks,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM Transactions on Software Engineering and Methodology,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
ACM Transactions on Spatial Algorithms and Systems,ACM Transactions on Spatial Algorithms and Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;geografia społeczno-ekonomiczna i gospodarka przestrzenna;informatyka;matematyka"
ACM Transactions on Storage,ACM Transactions on Storage,informatyka techniczna i telekomunikacja;informatyka
ACM Transactions on the Web,ACM Transactions on the Web,informatyka techniczna i telekomunikacja;informatyka
Acme-An International E-journal for Critical Geographies,ACME,architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki o zarządzaniu i jakości;prawo kanoniczne
ACOUSTICAL PHYSICS,Acoustical Physics,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki o zdrowiu;nauki biologiczne;nauki fizyczne"
Acoustical Science and Technology,Acoustical Science and Technology,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki o zdrowiu;nauki biologiczne;nauki fizyczne"
Acoustics Australia,Acoustics Australia,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki fizyczne"
Acque Sotterranee-Italian Journal of Groundwater,,"inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Across Languages and Cultures,Across Languages and Cultures,językoznawstwo;literaturoznawstwo;architektura i urbanistyka
ACS Applied Materials & Interfaces,ACS Applied Materials & Interfaces,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki leśne;nauki chemiczne
ACS Biomaterials Science & Engineering,ACS Biomaterial Science and Engineering,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
ACS Catalysis,ACS Catalysis,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;nauki farmaceutyczne;nauki biologiczne;nauki chemiczne
ACS Central Science,ACS Central Science,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne
ACS Chemical Biology,ACS Chemical Biology,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
ACS Chemical Neuroscience,ACS Chemical Neuroscience,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
ACS Combinatorial Science,ACS Combinatorial Science,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki chemiczne
ACS Earth and Space Chemistry,ACS Earth and Space Chemistry,astronomia;nauki chemiczne;nauki o Ziemi i środowisku
ACS Energy Letters,ACS Energy Letters,"automatyka, elektronika i elektrotechnika;inżynieria materiałowa;rolnictwo i ogrodnictwo;nauki chemiczne"
ACS Infectious Diseases,ACS Infectious Diseases,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
ACS Macro Letters,ACS Macro Letters,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
ACS Medicinal Chemistry Letters,ACS Medicinal Chemistry Letters,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia;nauki biologiczne;nauki chemiczne
ACS Nano,ACS Nano,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;weterynaria;astronomia;nauki biologiczne;nauki chemiczne;nauki fizyczne"
ACS Omega,ACS Omega,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;nauki farmaceutyczne;technologia żywności i żywienia;nauki chemiczne
ACS Photonics,ACS Photonics,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne;nauki fizyczne"
ACS Sensors,ACS Sensors,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;nauki farmaceutyczne;rolnictwo i ogrodnictwo;astronomia;nauki chemiczne;nauki fizyczne"
ACS Sustainable Chemistry & Engineering,ACS Sustainable Chemistry & Engineering,architektura i urbanistyka;inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne
ACS Synthetic Biology,ACS Synthetic Biology,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
ACSMS HEALTH & FITNESS JOURNAL,ACSM's Health and Fitness Journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki o kulturze fizycznej;nauki o zdrowiu
ACTA ACUSTICA UNITED WITH ACUSTICA,Acta Acustica united with Acustica,"nauki o sztuce;architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki o zdrowiu;nauki biologiczne;nauki fizyczne"
ACTA ADRIATICA,Acta Adriatica,inżynieria lądowa i transport;nauki biologiczne;nauki o Ziemi i środowisku
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,Acta Agriculturae Scandinavica - Section A: Animal Science,technologia żywności i żywienia;zootechnika i rybactwo
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo"
ACTA ALIMENTARIA,Acta Alimentaria,nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;zootechnika i rybactwo
ACTA AMAZONICA,Acta Amazonica,nauki farmaceutyczne;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne
ACTA ANAESTHESIOLOGICA BELGICA,Acta Anaesthesiologica Belgica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
ACTA ANAESTHESIOLOGICA SCANDINAVICA,Acta Anaesthesiologica Scandinavica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,Acta Analytica,filozofia;filozofia
Acta Angiologica,Acta Angiologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ACTA APPLICANDAE MATHEMATICAE,Acta Applicandae Mathematicae,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria mechaniczna;informatyka;matematyka"
ACTA ARCHAEOLOGICA,Acta Archaeologica,archeologia;architektura i urbanistyka;nauki biologiczne
ACTA ARITHMETICA,Acta Arithmetica,matematyka;matematyka
ACTA ASTRONAUTICA,Acta Astronautica,"automatyka, elektronika i elektrotechnika;astronomia"
ACTA ASTRONOMICA,Acta Astronomica,astronomia;astronomia
Acta Balneologica,,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
Acta Baltico-Slavica,Acta Baltico-Slavica,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Acta Biochimica et Biophysica Sinica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki fizyczne
ACTA BIOCHIMICA POLONICA,Acta Biochimica Polonica,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki biologiczne;nauki chemiczne"
Acta Bioclinica,,inżynieria biomedyczna;inżynieria biomedyczna
Acta Bioethica,Acta Bioethica,filozofia;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
ACTA BIOLOGICA COLOMBIANA,Acta Biologica Colombiana,inżynieria biomedyczna;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,Acta Biologica Cracoviensia Series Botanica,"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne"
ACTA BIOLOGICA HUNGARICA,Acta Biologica Hungarica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;zootechnika i rybactwo;nauki biologiczne
Acta Biomaterialia,Acta Biomaterialia,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,,inżynieria biomedyczna;nauki o zdrowiu
ACTA BIOTHEORETICA,Acta Biotheoretica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Acta Borealia,Acta Borealia,archeologia;historia;nauki o kulturze i religii;nauki o zarządzaniu i jakości;nauki socjologiczne
Acta Botanica Brasilica,Acta Botanica Brasilica,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
ACTA BOTANICA CROATICA,Acta Botanica Croatica,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
Acta Botanica Mexicana,Acta Botanica Mexicana,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
ACTA CARDIOLOGICA,Acta Cardiologica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki chemiczne
Acta Cardiologica Sinica,Acta Cardiologica Sinica,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
