Title1,Title2,DisciplineIdsString
ACM Transactions on Interactive Intelligent Systems,Transactions on Interactive Intelligent Systems,201 202 203 204 208 508 602
ACM Transactions on Internet Technology,ACM Transactions on Internet Technology,201 203 602
ACM Transactions on Knowledge Discovery from Data,ACM Transactions on Knowledge Discovery from Data,201 203 204 208 506 602
ACM Transactions on Management Information Systems,ACM Transactions on Management Information Systems,201 203 504 506 602
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM Transactions on Mathematical Software,202 203 204 208 602
ACM Transactions on Modeling and Computer Simulation,ACM Transactions on Modeling and Computer Simulation,201 202 203 204 206 207 208 209 506 602 603
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,,201 203 204 602
ACM Transactions on Multimedia Computing Communications and Applications,"ACM Transactions on Multimedia Computing, Communications and Applications",201 202 203 204 602
ACM Transactions on Parallel Computing,,202 203 602
ACM Transactions on Privacy and Security,ACM Transactions on Privacy and Security,201 203 206 602
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM Transactions on Programming Languages and Systems,203 602
ACM Transactions on Reconfigurable Technology and Systems,ACM Transactions on Reconfigurable Technology and Systems,202 203 204 602
ACM Transactions on Sensor Networks,ACM Transactions on Sensor Networks,202 203 602
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM Transactions on Software Engineering and Methodology,203 204 506 602
ACM Transactions on Spatial Algorithms and Systems,ACM Transactions on Spatial Algorithms and Systems,202 203 204 502 602 603
ACM Transactions on Storage,ACM Transactions on Storage,203 602
ACM Transactions on the Web,ACM Transactions on the Web,203 602
Acme-An International E-journal for Critical Geographies,ACME,201 502
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,,103 104 105 106 506 510
ACOUSTICAL PHYSICS,Acoustical Physics,201 202 204 208 304 604 606
Acoustical Science and Technology,Acoustical Science and Technology,201 202 203 204 207 208 304 604 606
Acoustics Australia,Acoustics Australia,201 202 203 204 208 606
Acque Sotterranee-Italian Journal of Groundwater,,209 607
Across Languages and Cultures,Across Languages and Cultures,104 105 201
ACS Applied Materials & Interfaces,ACS Applied Materials & Interfaces,204 205 207 208 301 401 605
ACS Biomaterials Science & Engineering,ACS Biomaterial Science and Engineering,204 205 207 208 301 302 304 604 605
ACS Catalysis,ACS Catalysis,204 205 207 301 604 605
ACS Central Science,ACS Central Science,204 207 208 301 605
ACS Chemical Biology,ACS Chemical Biology,204 207 301 302 402 604 605
ACS Chemical Neuroscience,ACS Chemical Neuroscience,204 301 302 304 404 604 605
ACS Combinatorial Science,ACS Combinatorial Science,204 301 302 304 402 605
ACS Earth and Space Chemistry,ACS Earth and Space Chemistry,601 605 607
ACS Energy Letters,ACS Energy Letters,202 207 402 605
ACS Infectious Diseases,ACS Infectious Diseases,204 301 302 304 404 604 605
ACS Macro Letters,ACS Macro Letters,204 205 207 208 301 402 605
ACS Medicinal Chemistry Letters,ACS Medicinal Chemistry Letters,204 301 302 304 403 604 605
ACS Nano,ACS Nano,202 204 205 206 207 208 301 402 404 601 604 605 606
ACS Omega,ACS Omega,204 205 207 301 403 605
ACS Photonics,ACS Photonics,202 204 207 301 304 402 604 605 606
ACS Sensors,ACS Sensors,202 203 204 206 207 301 402 601 605 606
ACS Sustainable Chemistry & Engineering,ACS Sustainable Chemistry & Engineering,201 204 205 207 208 301 402 403 605
ACS Synthetic Biology,ACS Synthetic Biology,204 207 301 302 304 402 604 605
ACSMS HEALTH & FITNESS JOURNAL,ACSM's Health and Fitness Journal,204 301 303 304
ACTA ACUSTICA UNITED WITH ACUSTICA,Acta Acustica united with Acustica,107 201 202 203 204 208 304 604 606
ACTA ADRIATICA,Acta Adriatica,206 604 607
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,Acta Agriculturae Scandinavica - Section A: Animal Science,403 405
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,209 402
ACTA ALIMENTARIA,Acta Alimentaria,301 304 402 403 405
ACTA AMAZONICA,Acta Amazonica,301 402 405 604
ACTA ANAESTHESIOLOGICA BELGICA,Acta Anaesthesiologica Belgica,204 301 302 304 404
ACTA ANAESTHESIOLOGICA SCANDINAVICA,Acta Anaesthesiologica Scandinavica,204 301 302 304
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,Acta Analytica,102
Acta Angiologica,Acta Angiologica,204 301 302 304
ACTA APPLICANDAE MATHEMATICAE,Acta Applicandae Mathematicae,202 203 208 602 603
ACTA ARCHAEOLOGICA,Acta Archaeologica,101 201 604
ACTA ARITHMETICA,Acta Arithmetica,603
ACTA ASTRONAUTICA,Acta Astronautica,202 601
ACTA ASTRONOMICA,Acta Astronomica,601
Acta Balneologica,,204 302 303 304
Acta Baltico-Slavica,Acta Baltico-Slavica,103 104 105 106 508
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Acta Biochimica et Biophysica Sinica,204 301 302 304 402 604 606
ACTA BIOCHIMICA POLONICA,Acta Biochimica Polonica,203 204 209 301 302 303 304 401 402 403 404 405 604 605
Acta Bioclinica,,204
Acta Bioethica,Acta Bioethica,102 301 302 304 508
ACTA BIOLOGICA COLOMBIANA,Acta Biologica Colombiana,204 402 405 604
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,Acta Biologica Cracoviensia Series Botanica,209 301 401 402 403 604
ACTA BIOLOGICA HUNGARICA,Acta Biologica Hungarica,204 301 302 304 402 403 405 604
Acta Biomaterialia,Acta Biomaterialia,204 205 207 301 302 304 402 604 605
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,,204 304
ACTA BIOTHEORETICA,Acta Biotheoretica,204 301 302 304 604
Acta Borealia,Acta Borealia,101 103 106 506 508
Acta Botanica Brasilica,Acta Botanica Brasilica,301 402 604
ACTA BOTANICA CROATICA,Acta Botanica Croatica,301 402 604
Acta Botanica Mexicana,Acta Botanica Mexicana,301 402 604
ACTA CARDIOLOGICA,Acta Cardiologica,204 301 302 304 605
Acta Cardiologica Sinica,Acta Cardiologica Sinica,204 302 304
ACTA CARSOLOGICA,Acta Carsologica,206 607
Acta Chemica Iasi,,605
ACTA CHIMICA SINICA,Acta Chimica Sinica,204 301 402 605
Acta Chimica Slovaca,,301
ACTA CHIMICA SLOVENICA,Acta Chimica Slovenica,204 301 402 605
ACTA CHIROPTEROLOGICA,Acta Chiropterologica,401 604
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,204 302
ACTA CHIRURGICA BELGICA,Acta Chirurgica Belgica,204 301 302 304 404
ACTA CHROMATOGRAPHICA,Acta Chromatographica,204 208 301 402 403 404 605
Acta Cirurgica Brasileira,Acta Cirurgica Brasileira,204 302 304
Acta Classica,Acta Classica,103 105
ACTA CLINICA BELGICA,Acta Clinica Belgica,204 301 302 304 404
Acta Clinica Croatica,Acta Clinica Croatica,204 301 302 304 404
Acta Crystallographica A-Foundation and Advances,Acta Crystallographica Section A: Foundations and Advances,204 207 301 604 605 606
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",202 204 207 208 301 605 606 607
Acta Crystallographica Section C-Structural Chemistry,"Acta crystallographica. Section C, Structural chemistry",204 207 208 301 605 606
Acta Crystallographica Section D-Structural Biology,Acta Crystallographica Section D: Structural Biology,204 207 301 403 604 605
Acta Crystallographica Section E-Crystallographic Communications,Acta Crystallographica Section E: Crystallographic Communications,207 208 301 605 606 607
Acta Crystallographica Section F-Structural Biology Communications,Acta Crystallographica Section F: Structural Biology Communications,204 207 301 302 402 604 605
Acta Cybernetica,Acta Cybernetica,202 203 204 506 602
ACTA CYTOLOGICA,Acta Cytologica,204 301 302 304 404 604 605
ACTA DERMATO-VENEREOLOGICA,Acta Dermato-Venereologica,204 301 302 304
Acta Dermatovenerologica Alpina Pannonica et Adriatica,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",301 302 304
Acta Dermatovenerologica Croatica,Acta Dermatovenerologica Croatica,302 304
ACTA DIABETOLOGICA,Acta Diabetologica,204 301 302 304 604 605
Acta Endocrinologica-Bucharest,Acta Endocrinologica,204 301 302 304 405 604
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,Acta Entomologica Musei Nationalis Pragae,401 402 604
Acta et Commentationes Universitatis Tartuensis de Mathematica,Acta et Commentationes Universitatis Tartuensis de Mathematica,603
ACTA ETHOLOGICA,Acta Ethologica,209 404 405 604
Acta Facultatis Medicae Naissensis,Acta Facultatis Medicae Naissensis,204 302 304
Acta Facultatis Xylologiae Zvolen,Acta Facultatis Xylologiae,207 208 401
ACTA GASTRO-ENTEROLOGICA BELGICA,Acta Gastro-Enterologica Belgica,204 302 304
Acta Geochimica,Acta Geochimica,209 607
Acta Geodaetica et Geophysica,Acta Geodaetica et Geophysica,206 209 606 607
Acta Geodynamica et Geomaterialia,Acta Geodynamica et Geomaterialia,206 209 607
Acta Geographica Slovenica-Geografski Zbornik,Acta Geographica Slovenica,201 206 209 502 607
ACTA GEOLOGICA POLONICA,Acta Geologica Polonica,206 209 401 604 607
ACTA GEOLOGICA SINICA-ENGLISH EDITION,,209 607
Acta Geophysica,Acta Geophysica,206 209 601 606 607
Acta Geotechnica,Acta Geotechnica,206 209
Acta Geotechnica Slovenica,Acta Geotechnica Slovenica,206 209
Acta Germanica-German studies in Africa,,104 105 106
Acta Gymnica,Acta Gymnica,303 304
ACTA HAEMATOLOGICA,Acta Haematologica,204 301 302 304 404 604 605
Acta Herpetologica,Acta Herpetologica,401 405 604
ACTA HISTOCHEMICA,Acta Histochemica,204 301 302 304 402 404 405 604 605
ACTA HISTOCHEMICA ET CYTOCHEMICA,Acta Histochemica et Cytochemica,204 301 302 304 402 403 404 405 604 605
Acta Historica Tallinnensia,Acta Historica Tallinnensia,103
Acta Histriae,,103 105
ACTA ICHTHYOLOGICA ET PISCATORIA,Acta Ichthyologica et Piscatoria,404 405 604
ACTA INFORMATICA,Acta Informatica,203 204 602
Acta Kinesiologica,Acta Kinesiologica,204 302 303 304
Acta Koreana,Acta Koreana,103 106
Acta Linguistica Hungarica,,104
Acta Literaria,Acta Literaria,105
ACTA MATERIALIA,Acta Materialia,204 205 207 208 301 403 605
ACTA MATHEMATICA,Acta Mathematica,603
ACTA MATHEMATICA HUNGARICA,Acta Mathematica Hungarica,603
ACTA MATHEMATICA SCIENTIA,Acta Mathematica Scientia,601 603
ACTA MATHEMATICA SINICA-ENGLISH SERIES,"Acta Mathematica Sinica, English Series",208 603
Acta Mathematica Universitatis Comenianae,Acta Mathematica Universitatis Comenianae,603
Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,603
Acta Mathematicae Applicatae Sinica-English Series,Acta Mathematicae Applicatae Sinica,208 602 603
ACTA MECHANICA,Acta Mechanica,204 206 207 208
Acta Mechanica et Automatica,Acta Mechanica et Automatica,202 204 206 208
ACTA MECHANICA SINICA,Acta Mechanica Sinica/Lixue Xuebao,204 206 207 208
ACTA MECHANICA SOLIDA SINICA,Acta Mechanica Solida Sinica,204 206 207 208 606
Acta Medica Indonesiana,Acta medica Indonesiana,204 301 302 304 404
Acta Medica Mediterranea,Acta Medica Mediterranea,204 301 302 304
ACTA MEDICA OKAYAMA,Acta Medica Okayama,204 301 302 304
Acta Medica Portuguesa,Acta Medica Portuguesa,204 301 302 404
Acta Medico-Historica Adriatica,AMHA - Acta Medico-Historica Adriatica,103 301 302 304 404
ACTA METALLURGICA SINICA,Jinshu Xuebao/Acta Metallurgica Sinica,206 207 208 209
Acta Metallurgica Sinica-English Letters,Acta Metallurgica Sinica (English Letters),207 208
Acta Metallurgica Slovaca,Acta Metallurgica Slovaca,207 208
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,Acta Microbiologica et Immunologica,204 301 302 304 404 604
Acta Microscopica,Acta Microscopica,202 204 205 207 208 301 604 605 606
ACTA MISSIOLOGICA,,510 701
Acta Montanistica Slovaca,Acta Montanistica Slovaca,206 208 209 607
ACTA MUSICOLOGICA,Acta Musicologica,106 107
Acta Naturae,Acta Naturae,204 301 302 304 402 604 605
Acta Neophilologica,Acta Neophilologica,104 105
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,Acta Neurobiologiae Experimentalis,204 301 302 303 304 401 604 605
ACTA NEUROCHIRURGICA,Acta Neurochirurgica,204 301 302 304
ACTA NEUROLOGICA BELGICA,Acta Neurologica Belgica,204 301 302 304 604
ACTA NEUROLOGICA SCANDINAVICA,Acta Neurologica Scandinavica,204 301 302 304 604
ACTA NEUROPATHOLOGICA,Acta Neuropathologica,204 301 302 303 304 604
Acta Neuropathologica Communications,Acta Neuropathologica Communications,204 301 302 304 604
ACTA NEUROPSYCHIATRICA,Acta Neuropsychiatrica,204 301 302 304 604
Acta Neuropsychologica,Acta Neuropsychologica,302 304 511 604
ACTA NUMERICA,Acta Numerica,202 203 206 602 603
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Acta Obstetricia et Gynecologica Scandinavica,204 301 302 304
ACTA OCEANOLOGICA SINICA,Acta Oceanologica Sinica,206 209 405 607
ACTA ODONTOLOGICA SCANDINAVICA,Acta Odontologica Scandinavica,204 301 302 304
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Acta Oecologica,201 209 401 402 405 604 607
ACTA OECONOMICA,Acta Oeconomica,501 502 506
Acta of Bioengineering and Biomechanics,Acta of Bioengineering and Biomechanics,202 204 205 206 207 208 209 301 302 303 304 402 403 404 604 605 606
ACTA ONCOLOGICA,Acta Oncologica,204 301 302 304 604 605
ACTA OPHTHALMOLOGICA,Acta Ophthalmologica,204 301 302 304
Acta Orientalia Academiae Scientiarum Hungaricae,Acta Orientalia,101 103 106 508
ACTA ORNITHOLOGICA,Acta Ornithologica,401 404 405 604
Acta Orthopaedica,Acta Orthopaedica,204 301 302 304
Acta Orthopaedica Belgica,Acta Orthopaedica Belgica,204 302 404
Acta Orthopaedica et Traumatologica Turcica,Acta Orthopaedica et Traumatologica Turcica,204 302 304 404
Acta Ortopedica Brasileira,Acta Ortopedica Brasileira,204 302
ACTA OTO-LARYNGOLOGICA,Acta Oto-Laryngologica,204 301 302 304
Acta Oto-Laryngologica Case Reports,,302 304
Acta Otorhinolaryngologica Italica,Acta Otorhinolaryngologica Italica,204 302 304
Acta Otorrinolaringologica Espanola,Acta Otorrinolaringologica Espanola,302 304
ACTA PAEDIATRICA,"Acta Paediatrica, International Journal of Paediatrics",204 301 302 304
ACTA PALAEONTOLOGICA POLONICA,Acta Palaeontologica Polonica,604 607
ACTA PARASITOLOGICA,Acta Parasitologica,204 301 302 304 401 404 405 604
Acta Paulista de Enfermagem,Acta Paulista de Enfermagem,204
Acta Pediatrica de Mexico,Acta Pediatrica de Mexico,302
ACTA PETROLOGICA SINICA,Acta Petrologica Sinica,209 607
ACTA PHARMACEUTICA,Acta Pharmaceutica,204 301 302 304 404 605
Acta Pharmaceutica Sinica B,Acta Pharmaceutica Sinica B,301 302
ACTA PHARMACOLOGICA SINICA,Acta Pharmacologica Sinica,204 301 302 304 404
Acta Philosophica,Acta Philosophica,102
Acta Phlebologica,Acta Phlebologica,204 302 304
Acta Photonica Sinica,Guangzi Xuebao/Acta Photonica Sinica,202 204 606
ACTA PHYSICA POLONICA A,Acta Physica Polonica A,202 204 207 208 401 403 404 501 601 605 606
ACTA PHYSICA POLONICA B,"Acta Physica Polonica, Series B.",202 204 207 208 501 601 606
ACTA PHYSICA SINICA,Wuli Xuebao/Acta Physica Sinica,204 208 601 606
ACTA PHYSICA SLOVACA,Acta Physica Slovaca,204 208 601 606
ACTA PHYSICO-CHIMICA SINICA,Acta Physico - Chimica Sinica,209 301 605 606
ACTA PHYSIOLOGIAE PLANTARUM,Acta Physiologiae Plantarum,209 301 401 402 404 604 605
Acta Physiologica,Acta Physiologica,204 301 302 304 402 604
Acta Phytotaxonomica et Geobotanica,Acta Phytotaxonomica et Geobotanica,209 301 401 402 604
Acta Politica,Acta Politica,103 106 505 508
ACTA POLONIAE HISTORICA,Acta Poloniae Historica,103 106 508
ACTA POLONIAE PHARMACEUTICA,Acta Poloniae Pharmaceutica,204 301 302 304 402 403 404 605
ACTA POLYMERICA SINICA,Acta Polymerica Sinica,204 207 208 209 301
Acta Polytechnica,Acta Polytechnica,201 204 206 208 209
Acta Polytechnica Hungarica,Acta Polytechnica Hungarica,202 204 206 208 209
ACTA PROTOZOOLOGICA,Acta Protozoologica,204 301 404 604
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,,302 511
ACTA PSYCHIATRICA SCANDINAVICA,Acta Psychiatrica Scandinavica,302 304
ACTA PSYCHOLOGICA,Acta Psychologica,106 301 302 303 304 511 604
ACTA RADIOLOGICA,Acta Radiologica,204 301 302 304
Acta Radiologica Open,,204 302 304 404
Acta Reumatologica Portuguesa,Acta Reumatologica Portuguesa,204 302 304
Acta Scientiae Veterinariae,Acta Scientiae Veterinariae,404 405
ACTA SCIENTIARUM MATHEMATICARUM,Acta Scientiarum Mathematicarum,603
Acta Scientiarum Polonorum-Formatio Circumiectus,,209 402
Acta Scientiarum Polonorum-Hortorum Cultus,"Acta Scientiarum Polonorum, Hortorum Cultus",209 301 402 403 604
Acta Scientiarum Polonorum-Technologia Alimentaria,"Acta Scientiarum Polonorum, Technologia Alimentaria",208 301 402 403 405
ACTA SCIENTIARUM-AGRONOMY,Acta Scientiarum - Agronomy,402
ACTA SCIENTIARUM-HEALTH SCIENCES,Acta Scientiarum - Health Sciences,106 204 301 302 304 403
ACTA SCIENTIARUM-TECHNOLOGY,Acta Scientiarum - Technology,106 202 204 206 207 208 209 301 402 403 506 507 601
Acta Silvae et Ligni,,401
ACTA SOCIETATIS BOTANICORUM POLONIAE,Acta Societatis Botanicorum Poloniae,106 209 301 401 402 604
ACTA SOCIOLOGICA,Acta Sociologica,508
Acta Stomatologica Croatica,Acta Stomatologica Croatica,302
Acta Structilia,,503 506
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,,208
Acta Theologica,Acta Theologica,510 701
ACTA TROPICA,Acta Tropica,301 302 304 402 604
Acta Turistica,Acta Turistica,201 502 506
Acta Universitatis Sapientiae Informatica,,203 602
Acta Universitatis Sapientiae-Film and Media Studies,,106 107
Acta Universitatis Sapientiae-Mathematica,"Acta Universitatis Sapientiae, Mathematica",603
ACTA VETERINARIA BRNO,Acta Veterinaria Brno,404 405
ACTA VETERINARIA HUNGARICA,Acta Veterinaria Hungarica,404 405
ACTA VETERINARIA SCANDINAVICA,Acta Veterinaria Scandinavica,204 301 404 405
ACTA VETERINARIA-BEOGRAD,Acta Veterinaria,404 405
ACTA VIROLOGICA,Acta Virologica,301 302 304 402 404 604 605
Acta Vulnologica,Acta Vulnologica,204 301 302
ACTA ZOOLOGICA,Acta Zoologica,204 301 401 404 405 604
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,Acta Zoologica Academiae Scientiarum Hungaricae,401 405 604
ACTA ZOOLOGICA BULGARICA,Acta Zoologica Bulgarica,401 405 604
Actas Dermo-Sifiliograficas,Actas Dermo-Sifiliograficas,204 301 302 304
ACTAS ESPANOLAS DE PSIQUIATRIA,Actas Espanolas de Psiquiatria,302 304
Actas Urologicas Espanolas,Actas Urologicas Espanolas,204 302 304
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,Actes de la recherche en sciences sociales,505 506 508
Action Learning,Action Learning: Research and Practice,506
Action Research,Action Research,304 505 506 508 509
Active and Passive Electronic Components,Active and Passive Electronic Components,202 204 207
Active Learning in Higher Education,Active Learning in Higher Education,201 506 509
Activitas Nervosa Superior Rediviva,Activitas Nervosa Superior Rediviva,204 302 304 604
Activitat Parlamentaria,,505
Activites-Revue Electronique,,506
Activities Adaptation & Aging,"Activities, Adaptation and Aging",301 302 303 304 511
Actualidad Contable Faces,,506
Actualidad Juridica Ambiental,,507
Actualidades en Psicologia,,511
Actualidades Pedagogicas,,508 509
ACTUALITE ECONOMIQUE,,501 506
Actualites Pharmaceutiques,Actualites Pharmaceutiques,301 302 404
Actualizaciones en Osteologia,Actualizaciones en Osteologia,204 302 604
Actuators,Actuators,202 204 206 208 209
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,Acupuncture and Electro-Therapeutics Research,204 302 303 304
Acupuncture and Related Therapies,,302 303 304
Acupuncture in Medicine,Acupuncture in Medicine,204 302 304
Acute Medicine & Surgery,,204 302 304
AD ALTA-Journal of Interdisciplinary Research,,106 201 204 206 207 208 209 301 402 506 507 508 604 606 607
Ad Hoc & Sensor Wireless Networks,Ad-Hoc and Sensor Wireless Networks,202 203 204 206 601 602
Ad Hoc Networks,Ad Hoc Networks,202 203 602
Adalya,,101
