Title1,Title2,Humanities,Tech,Medical,Farm,Social,Science,Religion,Arts
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM Transactions on Asian and Low-Resource Language Information Processing,0,2,0,0,0,1,0,0
ACM Transactions on Autonomous and Adaptive Systems,ACM Transactions on Autonomous and Adaptive Systems,0,4,0,0,0,1,0,0
ACM Transactions on Computation Theory,ACM Transactions on Computation Theory,0,1,0,0,0,1,0,0
ACM Transactions on Computational Logic,ACM Transactions on Computational Logic,1,3,0,0,1,1,0,0
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM Transactions on Computer Systems,0,2,0,0,0,1,0,0
ACM Transactions on Computer-Human Interaction,ACM Transactions on Computer-Human Interaction,0,4,0,0,3,1,0,0
ACM Transactions on Computing Education,ACM Transactions on Computing Education,0,1,0,0,0,1,0,0
ACM Transactions on Cyber-Physical Systems,,0,4,0,0,0,1,0,0
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM Transactions on Database Systems,0,2,0,0,1,1,0,0
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM Transactions on Design Automation of Electronic Systems,0,4,0,0,0,1,0,0
ACM Transactions on Economics and Computation,ACM Transactions on Economics and Computation,0,2,0,0,2,1,0,0
ACM Transactions on Embedded Computing Systems,Transactions on Embedded Computing Systems,0,3,0,0,0,1,0,0
ACM TRANSACTIONS ON GRAPHICS,ACM Transactions on Graphics,0,2,0,0,0,1,0,0
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM Transactions on Information Systems,0,3,0,0,1,1,0,0
ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Intelligent Systems and Technology,0,6,0,0,0,1,0,0
ACM Transactions on Interactive Intelligent Systems,Transactions on Interactive Intelligent Systems,0,5,0,0,1,1,0,0
ACM Transactions on Internet Technology,ACM Transactions on Internet Technology,0,2,0,0,0,1,0,0
ACM Transactions on Knowledge Discovery from Data,ACM Transactions on Knowledge Discovery from Data,0,4,0,0,1,1,0,0
ACM Transactions on Management Information Systems,ACM Transactions on Management Information Systems,0,2,0,0,2,1,0,0
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM Transactions on Mathematical Software,0,4,0,0,0,1,0,0
ACM Transactions on Modeling and Computer Simulation,ACM Transactions on Modeling and Computer Simulation,0,8,0,0,1,2,0,0
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,,0,3,0,0,0,1,0,0
ACM Transactions on Multimedia Computing Communications and Applications,"ACM Transactions on Multimedia Computing, Communications and Applications",0,4,0,0,0,1,0,0
ACM Transactions on Parallel Computing,,0,2,0,0,0,1,0,0
ACM Transactions on Privacy and Security,ACM Transactions on Privacy and Security,0,3,0,0,0,1,0,0
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM Transactions on Programming Languages and Systems,0,1,0,0,0,1,0,0
ACM Transactions on Reconfigurable Technology and Systems,ACM Transactions on Reconfigurable Technology and Systems,0,3,0,0,0,1,0,0
ACM Transactions on Sensor Networks,ACM Transactions on Sensor Networks,0,2,0,0,0,1,0,0
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM Transactions on Software Engineering and Methodology,0,2,0,0,1,1,0,0
ACM Transactions on Spatial Algorithms and Systems,ACM Transactions on Spatial Algorithms and Systems,0,3,0,0,1,2,0,0
ACM Transactions on Storage,ACM Transactions on Storage,0,1,0,0,0,1,0,0
ACM Transactions on the Web,ACM Transactions on the Web,0,1,0,0,0,1,0,0
Acme-An International E-journal for Critical Geographies,ACME,0,1,0,0,1,0,0,0
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,,4,0,0,0,2,0,0,0
ACOUSTICAL PHYSICS,Acoustical Physics,0,4,1,0,0,2,0,0
Acoustical Science and Technology,Acoustical Science and Technology,0,6,1,0,0,2,0,0
Acoustics Australia,Acoustics Australia,0,5,0,0,0,1,0,0
Acque Sotterranee-Italian Journal of Groundwater,,0,1,0,0,0,1,0,0
Across Languages and Cultures,Across Languages and Cultures,2,1,0,0,0,0,0,0
ACS Applied Materials & Interfaces,ACS Applied Materials & Interfaces,0,4,1,1,0,1,0,0
ACS Biomaterials Science & Engineering,ACS Biomaterial Science and Engineering,0,4,3,0,0,2,0,0
ACS Catalysis,ACS Catalysis,0,3,1,0,0,2,0,0
ACS Central Science,ACS Central Science,0,3,1,0,0,1,0,0
ACS Chemical Biology,ACS Chemical Biology,0,2,2,1,0,2,0,0
ACS Chemical Neuroscience,ACS Chemical Neuroscience,0,1,3,1,0,2,0,0
ACS Combinatorial Science,ACS Combinatorial Science,0,1,3,1,0,1,0,0
ACS Earth and Space Chemistry,ACS Earth and Space Chemistry,0,0,0,0,0,3,0,0
ACS Energy Letters,ACS Energy Letters,0,2,0,1,0,1,0,0
ACS Infectious Diseases,ACS Infectious Diseases,0,1,3,1,0,2,0,0
ACS Macro Letters,ACS Macro Letters,0,4,1,1,0,1,0,0
ACS Medicinal Chemistry Letters,ACS Medicinal Chemistry Letters,0,1,3,1,0,2,0,0
ACS Nano,ACS Nano,0,6,1,2,0,4,0,0
ACS Omega,ACS Omega,0,3,1,1,0,1,0,0
ACS Photonics,ACS Photonics,0,3,2,1,0,3,0,0
ACS Sensors,ACS Sensors,0,5,1,1,0,3,0,0
ACS Sustainable Chemistry & Engineering,ACS Sustainable Chemistry & Engineering,0,5,1,2,0,1,0,0
ACS Synthetic Biology,ACS Synthetic Biology,0,2,3,1,0,2,0,0
ACSMS HEALTH & FITNESS JOURNAL,ACSM's Health and Fitness Journal,0,1,3,0,0,0,0,0
ACTA ACUSTICA UNITED WITH ACUSTICA,Acta Acustica united with Acustica,1,5,1,0,0,2,0,0
ACTA ADRIATICA,Acta Adriatica,0,1,0,0,0,2,0,0
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,Acta Agriculturae Scandinavica - Section A: Animal Science,0,0,0,2,0,0,0,0
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,0,1,0,1,0,0,0,0
ACTA ALIMENTARIA,Acta Alimentaria,0,0,2,3,0,0,0,0
ACTA AMAZONICA,Acta Amazonica,0,0,1,2,0,1,0,0
ACTA ANAESTHESIOLOGICA BELGICA,Acta Anaesthesiologica Belgica,0,1,3,1,0,0,0,0
ACTA ANAESTHESIOLOGICA SCANDINAVICA,Acta Anaesthesiologica Scandinavica,0,1,3,0,0,0,0,0
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,Acta Analytica,1,0,0,0,0,0,0,0
Acta Angiologica,Acta Angiologica,0,1,3,0,0,0,0,0
ACTA APPLICANDAE MATHEMATICAE,Acta Applicandae Mathematicae,0,3,0,0,0,2,0,0
ACTA ARCHAEOLOGICA,Acta Archaeologica,1,1,0,0,0,1,0,0
ACTA ARITHMETICA,Acta Arithmetica,0,0,0,0,0,1,0,0
ACTA ASTRONAUTICA,Acta Astronautica,0,1,0,0,0,1,0,0
ACTA ASTRONOMICA,Acta Astronomica,0,0,0,0,0,1,0,0
Acta Balneologica,,0,1,3,0,0,0,0,0
Acta Baltico-Slavica,Acta Baltico-Slavica,4,0,0,0,1,0,0,0
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Acta Biochimica et Biophysica Sinica,0,1,3,1,0,2,0,0
ACTA BIOCHIMICA POLONICA,Acta Biochimica Polonica,0,3,4,5,0,2,0,0
Acta Bioclinica,,0,1,0,0,0,0,0,0
Acta Bioethica,Acta Bioethica,1,0,3,0,1,0,0,0
ACTA BIOLOGICA COLOMBIANA,Acta Biologica Colombiana,0,1,0,2,0,1,0,0
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,Acta Biologica Cracoviensia Series Botanica,0,1,1,3,0,1,0,0
ACTA BIOLOGICA HUNGARICA,Acta Biologica Hungarica,0,1,3,3,0,1,0,0
Acta Biomaterialia,Acta Biomaterialia,0,3,3,1,0,2,0,0
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,,0,1,1,0,0,0,0,0
ACTA BIOTHEORETICA,Acta Biotheoretica,0,1,3,0,0,1,0,0
Acta Borealia,Acta Borealia,3,0,0,0,2,0,0,0
Acta Botanica Brasilica,Acta Botanica Brasilica,0,0,1,1,0,1,0,0
ACTA BOTANICA CROATICA,Acta Botanica Croatica,0,0,1,1,0,1,0,0
Acta Botanica Mexicana,Acta Botanica Mexicana,0,0,1,1,0,1,0,0
ACTA CARDIOLOGICA,Acta Cardiologica,0,1,3,0,0,1,0,0
Acta Cardiologica Sinica,Acta Cardiologica Sinica,0,1,2,0,0,0,0,0
ACTA CARSOLOGICA,Acta Carsologica,0,1,0,0,0,1,0,0
Acta Chemica Iasi,,0,0,0,0,0,1,0,0
ACTA CHIMICA SINICA,Acta Chimica Sinica,0,1,1,1,0,1,0,0
Acta Chimica Slovaca,,0,0,1,0,0,0,0,0
ACTA CHIMICA SLOVENICA,Acta Chimica Slovenica,0,1,1,1,0,1,0,0
ACTA CHIROPTEROLOGICA,Acta Chiropterologica,0,0,0,1,0,1,0,0
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0,1,1,0,0,0,0,0
ACTA CHIRURGICA BELGICA,Acta Chirurgica Belgica,0,1,3,1,0,0,0,0
ACTA CHROMATOGRAPHICA,Acta Chromatographica,0,2,1,3,0,1,0,0
Acta Cirurgica Brasileira,Acta Cirurgica Brasileira,0,1,2,0,0,0,0,0
Acta Classica,Acta Classica,2,0,0,0,0,0,0,0
ACTA CLINICA BELGICA,Acta Clinica Belgica,0,1,3,1,0,0,0,0
Acta Clinica Croatica,Acta Clinica Croatica,0,1,3,1,0,0,0,0
Acta Crystallographica A-Foundation and Advances,Acta Crystallographica Section A: Foundations and Advances,0,2,1,0,0,3,0,0
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",0,4,1,0,0,3,0,0
Acta Crystallographica Section C-Structural Chemistry,"Acta crystallographica. Section C, Structural chemistry",0,3,1,0,0,2,0,0
Acta Crystallographica Section D-Structural Biology,Acta Crystallographica Section D: Structural Biology,0,2,1,1,0,2,0,0
Acta Crystallographica Section E-Crystallographic Communications,Acta Crystallographica Section E: Crystallographic Communications,0,2,1,0,0,3,0,0
Acta Crystallographica Section F-Structural Biology Communications,Acta Crystallographica Section F: Structural Biology Communications,0,2,2,1,0,2,0,0
Acta Cybernetica,Acta Cybernetica,0,3,0,0,1,1,0,0
ACTA CYTOLOGICA,Acta Cytologica,0,1,3,1,0,2,0,0
ACTA DERMATO-VENEREOLOGICA,Acta Dermato-Venereologica,0,1,3,0,0,0,0,0
Acta Dermatovenerologica Alpina Pannonica et Adriatica,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",0,0,3,0,0,0,0,0
Acta Dermatovenerologica Croatica,Acta Dermatovenerologica Croatica,0,0,2,0,0,0,0,0
ACTA DIABETOLOGICA,Acta Diabetologica,0,1,3,0,0,2,0,0
Acta Endocrinologica-Bucharest,Acta Endocrinologica,0,1,3,1,0,1,0,0
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,Acta Entomologica Musei Nationalis Pragae,0,0,0,2,0,1,0,0
Acta et Commentationes Universitatis Tartuensis de Mathematica,Acta et Commentationes Universitatis Tartuensis de Mathematica,0,0,0,0,0,1,0,0
ACTA ETHOLOGICA,Acta Ethologica,0,1,0,2,0,1,0,0
Acta Facultatis Medicae Naissensis,Acta Facultatis Medicae Naissensis,0,1,2,0,0,0,0,0
Acta Facultatis Xylologiae Zvolen,Acta Facultatis Xylologiae,0,2,0,1,0,0,0,0
ACTA GASTRO-ENTEROLOGICA BELGICA,Acta Gastro-Enterologica Belgica,0,1,2,0,0,0,0,0
Acta Geochimica,Acta Geochimica,0,1,0,0,0,1,0,0
Acta Geodaetica et Geophysica,Acta Geodaetica et Geophysica,0,2,0,0,0,2,0,0
Acta Geodynamica et Geomaterialia,Acta Geodynamica et Geomaterialia,0,2,0,0,0,1,0,0
Acta Geographica Slovenica-Geografski Zbornik,Acta Geographica Slovenica,0,3,0,0,1,1,0,0
ACTA GEOLOGICA POLONICA,Acta Geologica Polonica,0,2,0,1,0,2,0,0
ACTA GEOLOGICA SINICA-ENGLISH EDITION,,0,1,0,0,0,1,0,0
Acta Geophysica,Acta Geophysica,0,2,0,0,0,3,0,0
Acta Geotechnica,Acta Geotechnica,0,2,0,0,0,0,0,0
Acta Geotechnica Slovenica,Acta Geotechnica Slovenica,0,2,0,0,0,0,0,0
Acta Germanica-German studies in Africa,,3,0,0,0,0,0,0,0
Acta Gymnica,Acta Gymnica,0,0,2,0,0,0,0,0
ACTA HAEMATOLOGICA,Acta Haematologica,0,1,3,1,0,2,0,0
Acta Herpetologica,Acta Herpetologica,0,0,0,2,0,1,0,0
ACTA HISTOCHEMICA,Acta Histochemica,0,1,3,3,0,2,0,0
ACTA HISTOCHEMICA ET CYTOCHEMICA,Acta Histochemica et Cytochemica,0,1,3,4,0,2,0,0
Acta Historica Tallinnensia,Acta Historica Tallinnensia,1,0,0,0,0,0,0,0
Acta Histriae,,2,0,0,0,0,0,0,0
ACTA ICHTHYOLOGICA ET PISCATORIA,Acta Ichthyologica et Piscatoria,0,0,0,2,0,1,0,0
ACTA INFORMATICA,Acta Informatica,0,2,0,0,0,1,0,0
Acta Kinesiologica,Acta Kinesiologica,0,1,3,0,0,0,0,0
Acta Koreana,Acta Koreana,2,0,0,0,0,0,0,0
Acta Linguistica Hungarica,,1,0,0,0,0,0,0,0
Acta Literaria,Acta Literaria,1,0,0,0,0,0,0,0
ACTA MATERIALIA,Acta Materialia,0,4,1,1,0,1,0,0
ACTA MATHEMATICA,Acta Mathematica,0,0,0,0,0,1,0,0
ACTA MATHEMATICA HUNGARICA,Acta Mathematica Hungarica,0,0,0,0,0,1,0,0
ACTA MATHEMATICA SCIENTIA,Acta Mathematica Scientia,0,0,0,0,0,2,0,0
ACTA MATHEMATICA SINICA-ENGLISH SERIES,"Acta Mathematica Sinica, English Series",0,1,0,0,0,1,0,0
Acta Mathematica Universitatis Comenianae,Acta Mathematica Universitatis Comenianae,0,0,0,0,0,1,0,0
Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,0,0,0,0,0,1,0,0
Acta Mathematicae Applicatae Sinica-English Series,Acta Mathematicae Applicatae Sinica,0,1,0,0,0,2,0,0
ACTA MECHANICA,Acta Mechanica,0,4,0,0,0,0,0,0
Acta Mechanica et Automatica,Acta Mechanica et Automatica,0,4,0,0,0,0,0,0
ACTA MECHANICA SINICA,Acta Mechanica Sinica/Lixue Xuebao,0,4,0,0,0,0,0,0
ACTA MECHANICA SOLIDA SINICA,Acta Mechanica Solida Sinica,0,4,0,0,0,1,0,0
Acta Medica Indonesiana,Acta medica Indonesiana,0,1,3,1,0,0,0,0
Acta Medica Mediterranea,Acta Medica Mediterranea,0,1,3,0,0,0,0,0
ACTA MEDICA OKAYAMA,Acta Medica Okayama,0,1,3,0,0,0,0,0
Acta Medica Portuguesa,Acta Medica Portuguesa,0,1,2,1,0,0,0,0
Acta Medico-Historica Adriatica,AMHA - Acta Medico-Historica Adriatica,1,0,3,1,0,0,0,0
ACTA METALLURGICA SINICA,Jinshu Xuebao/Acta Metallurgica Sinica,0,4,0,0,0,0,0,0
Acta Metallurgica Sinica-English Letters,Acta Metallurgica Sinica (English Letters),0,2,0,0,0,0,0,0
Acta Metallurgica Slovaca,Acta Metallurgica Slovaca,0,2,0,0,0,0,0,0
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,Acta Microbiologica et Immunologica,0,1,3,1,0,1,0,0
Acta Microscopica,Acta Microscopica,0,5,1,0,0,3,0,0
ACTA MISSIOLOGICA,,0,0,0,0,1,0,1,0
Acta Montanistica Slovaca,Acta Montanistica Slovaca,0,3,0,0,0,1,0,0
ACTA MUSICOLOGICA,Acta Musicologica,2,0,0,0,0,0,0,0
Acta Naturae,Acta Naturae,0,1,3,1,0,2,0,0
Acta Neophilologica,Acta Neophilologica,2,0,0,0,0,0,0,0
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,Acta Neurobiologiae Experimentalis,0,1,4,1,0,2,0,0
ACTA NEUROCHIRURGICA,Acta Neurochirurgica,0,1,3,0,0,0,0,0
ACTA NEUROLOGICA BELGICA,Acta Neurologica Belgica,0,1,3,0,0,1,0,0
ACTA NEUROLOGICA SCANDINAVICA,Acta Neurologica Scandinavica,0,1,3,0,0,1,0,0
ACTA NEUROPATHOLOGICA,Acta Neuropathologica,0,1,4,0,0,1,0,0
Acta Neuropathologica Communications,Acta Neuropathologica Communications,0,1,3,0,0,1,0,0
ACTA NEUROPSYCHIATRICA,Acta Neuropsychiatrica,0,1,3,0,0,1,0,0
Acta Neuropsychologica,Acta Neuropsychologica,0,0,2,0,1,1,0,0
ACTA NUMERICA,Acta Numerica,0,3,0,0,0,2,0,0
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Acta Obstetricia et Gynecologica Scandinavica,0,1,3,0,0,0,0,0
ACTA OCEANOLOGICA SINICA,Acta Oceanologica Sinica,0,2,0,1,0,1,0,0
ACTA ODONTOLOGICA SCANDINAVICA,Acta Odontologica Scandinavica,0,1,3,0,0,0,0,0
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Acta Oecologica,0,2,0,3,0,2,0,0
ACTA OECONOMICA,Acta Oeconomica,0,0,0,0,3,0,0,0
Acta of Bioengineering and Biomechanics,Acta of Bioengineering and Biomechanics,0,7,4,3,0,3,0,0
ACTA ONCOLOGICA,Acta Oncologica,0,1,3,0,0,2,0,0
ACTA OPHTHALMOLOGICA,Acta Ophthalmologica,0,1,3,0,0,0,0,0
Acta Orientalia Academiae Scientiarum Hungaricae,Acta Orientalia,3,0,0,0,1,0,0,0
ACTA ORNITHOLOGICA,Acta Ornithologica,0,0,0,3,0,1,0,0
Acta Orthopaedica,Acta Orthopaedica,0,1,3,0,0,0,0,0
Acta Orthopaedica Belgica,Acta Orthopaedica Belgica,0,1,1,1,0,0,0,0
Acta Orthopaedica et Traumatologica Turcica,Acta Orthopaedica et Traumatologica Turcica,0,1,2,1,0,0,0,0
Acta Ortopedica Brasileira,Acta Ortopedica Brasileira,0,1,1,0,0,0,0,0
ACTA OTO-LARYNGOLOGICA,Acta Oto-Laryngologica,0,1,3,0,0,0,0,0
Acta Oto-Laryngologica Case Reports,,0,0,2,0,0,0,0,0
Acta Otorhinolaryngologica Italica,Acta Otorhinolaryngologica Italica,0,1,2,0,0,0,0,0
Acta Otorrinolaringologica Espanola,Acta Otorrinolaringologica Espanola,0,0,2,0,0,0,0,0
ACTA PAEDIATRICA,"Acta Paediatrica, International Journal of Paediatrics",0,1,3,0,0,0,0,0
ACTA PALAEONTOLOGICA POLONICA,Acta Palaeontologica Polonica,0,0,0,0,0,2,0,0
ACTA PARASITOLOGICA,Acta Parasitologica,0,1,3,3,0,1,0,0
Acta Paulista de Enfermagem,Acta Paulista de Enfermagem,0,1,0,0,0,0,0,0
Acta Pediatrica de Mexico,Acta Pediatrica de Mexico,0,0,1,0,0,0,0,0
ACTA PETROLOGICA SINICA,Acta Petrologica Sinica,0,1,0,0,0,1,0,0
ACTA PHARMACEUTICA,Acta Pharmaceutica,0,1,3,1,0,1,0,0
Acta Pharmaceutica Sinica B,Acta Pharmaceutica Sinica B,0,0,2,0,0,0,0,0
ACTA PHARMACOLOGICA SINICA,Acta Pharmacologica Sinica,0,1,3,1,0,0,0,0
Acta Philosophica,Acta Philosophica,1,0,0,0,0,0,0,0
Acta Phlebologica,Acta Phlebologica,0,1,2,0,0,0,0,0
Acta Photonica Sinica,Guangzi Xuebao/Acta Photonica Sinica,0,2,0,0,0,1,0,0
ACTA PHYSICA POLONICA A,Acta Physica Polonica A,0,4,0,3,1,3,0,0
ACTA PHYSICA POLONICA B,"Acta Physica Polonica, Series B.",0,4,0,0,1,2,0,0
ACTA PHYSICA SINICA,Wuli Xuebao/Acta Physica Sinica,0,2,0,0,0,2,0,0
ACTA PHYSICA SLOVACA,Acta Physica Slovaca,0,2,0,0,0,2,0,0
ACTA PHYSICO-CHIMICA SINICA,Acta Physico - Chimica Sinica,0,1,1,0,0,2,0,0
ACTA PHYSIOLOGIAE PLANTARUM,Acta Physiologiae Plantarum,0,1,1,3,0,2,0,0
Acta Physiologica,Acta Physiologica,0,1,3,1,0,1,0,0
Acta Phytotaxonomica et Geobotanica,Acta Phytotaxonomica et Geobotanica,0,1,1,2,0,1,0,0
