Author,Journal
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lingwistyka Stosowana
Duch,Neural Information Processing - Letters and Reviews
Duch,Neural Networks
Duch,Neural Networks
Duch,Neural Networks
Duch,Neural Networks
Duch,Neurocomputing
Duch,Nowa Audiofonologia
Duch,Philosophies
Duch,Physics of Life Reviews
Duch,Polskie Forum Psychologiczne
Duch,Scientia et Fides
Duch,Słyszę (Warszawa)
Duch,Zagadnienia Naukoznawstwa
Grąbczewski,International Journal of Information Technology and Intelligent Computing
Grąbczewski,International Journal of Pharma Medicine and Biological Sciences
Grąbczewski,Knowledge-Based Systems
Grąbczewski,Lecture Notes in Computer Science
Grąbczewski,Lecture Notes in Computer Science
Grąbczewski,Lecture Notes in Computer Science
Grąbczewski,Lecture Notes in Computer Science
Grąbczewski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Grochowski,Lecture Notes in Computer Science
Jankowski,Advances in Intelligent Systems and Computing
Jankowski,Collection of Czechoslovak Chemical Communications
Jankowski,International Journal of Applied Mathematics and Computer Science
Jankowski,International Journal of Applied Mathematics and Computer Science
Jankowski,International Journal of Information Technology and Intelligent Computing
Jankowski,Journal of Chemical Physics
Jankowski,Journal of Chemical Physics
Jankowski,Journal of Network and Information Security
Jankowski,Knowledge-Based Systems
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Lecture Notes in Computer Science
Jankowski,Theoretical Chemistry Accounts
Komorowski,Acta Physica Polonica. B
Linowiecki,Lingwistyka Stosowana
Matulewski,Lingwistyka Stosowana
Matulewski,"Polish Journal of Aviation Medicine, Bioengineering and Psychology"
Meller,Advances in Experimental Medicine and Biology
Meller,Artificial Intelligence in Medicine
Meller,Autophagy
Meller,Bioinformatics
Meller,Biophysical Journal
Meller,Blood : journal of the American Society of Hematology
Meller,BMC Bioinformatics
Meller,BMC Bioinformatics
Meller,BMC Bioinformatics
Meller,Cancer Cell
Meller,Cancer Cell
Meller,Cellular Physiology and Biochemistry
Meller,Chemistry & Biology
Meller,Clinical Canser Research
Meller,Computer Science
Meller,Current Pharmaceutical Design
Meller,Current Protein and Peptide Science
Meller,Human Genomics
Meller,Journal of Computational Biology
Meller,Journal of Computational Biology
Meller,Journal of Computational Chemistry
Meller,Mathematical Programming. Series B
Meller,Molecular Physics
Meller,Molecular Physics
Meller,Molecular Vision
Meller,Pharmacogenomics
Meller,Proceedings of the National Academy of Sciences of the United States of America
Meller,Protein Science
Meller,"Proteins : structure, function and bioinformatics"
Meller,"Proteins : structure, function and bioinformatics"
Meller,"Proteins : structure, function and bioinformatics"
Meller,TASK Quarterly
Meller,Trends in Molecular Medicine
Meller,Virology
Piotrowski,Acta Physica Polonica. B
Piotrowski,IEEE Transactions on Signal Processing
Piotrowski,"Journal of Education, Health and Sport"
Piotrowski,Journal of the Franklin Institute
Piotrowski,Journal of the Franklin Institute
Piotrowski,Lecture Notes in Computer Science
Piotrowski,Lecture Notes in Computer Science
Sokolov,Bulletin of the Polish Academy of Sciences. Technical Sciences
Sokolov,Communications in Computer and Information Science
Sokolov,"Edukacja, Technika, Informatyka"
Sokolov,Geophysical Research Abstracts
Sokolov,International Journal on Advances in Intelligent Systems
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,"Journal of Education, Health and Sport"
Sokolov,Journal of Health Sciences
Sokolov,Journal of Health Sciences
Sokolov,Journal of Health Sciences
Sokolov,Journal of Health Sciences
Sokolov,Journal of Health Sciences
Sokolov,"Komp t""rni Nauki i Tehnologii"
Sokolov,Legea şi Viaţa
Sokolov,Naftogazova Energetika
Sokolov,Naftogazova Energetika
Sokolov,"Testuvannâ   Mon toring v Osv t "
Sokolov,Urologíâ
Sokolov,Vestnik Har'kovskogo Nacional'nogo Avtomobil'no-Dorožnogo Universiteta
