Author,Journal,Count
Naukowiec_12,Protein Science,1
Naukowiec_12,"Proteins : structure, function and bioinformatics",3
Naukowiec_12,TASK Quarterly,1
Naukowiec_12,Trends in Molecular Medicine,1
Naukowiec_12,Virology,1
Naukowiec_13,Acta Physica Polonica. B,1
Naukowiec_13,IEEE Transactions on Signal Processing,1
Naukowiec_13,"Journal of Education, Health and Sport",1
Naukowiec_13,Journal of the Franklin Institute,2
Naukowiec_13,Lecture Notes in Computer Science,2
Naukowiec_14,Bulletin of the Polish Academy of Sciences. Technical Sciences,1
Naukowiec_14,Communications in Computer and Information Science,1
Naukowiec_14,"Edukacja, Technika, Informatyka",1
Naukowiec_14,Geophysical Research Abstracts,1
Naukowiec_14,International Journal on Advances in Intelligent Systems,1
Naukowiec_14,"Journal of Education, Health and Sport",9
Naukowiec_14,Journal of Health Sciences,5
Naukowiec_14,"Komp t""rni Nauki i Tehnologii",1
Naukowiec_14,Legea şi Viaţa,1
Naukowiec_14,Naftogazova Energetika,2
Naukowiec_14,"Testuvannâ   Mon toring v Osv t ",1
Naukowiec_14,Urologíâ,1
Naukowiec_14,Vestnik Har'kovskogo Nacional'nogo Avtomobil'no-Dorožnogo Universiteta,1
