Journal,Humanities,Technology,Medical,Farm,Social,Science,Religion,Arts
acta chimica slovaca,0,0,1,0,0,0,0,0
acta chimica slovenica,0,1,1,1,0,1,0,0
acta chiropterologica,0,0,0,1,0,1,0,0
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,0,1,1,0,0,0,0,0
acta chirurgica belgica,0,1,3,1,0,0,0,0
acta chromatographica,0,2,1,3,0,1,0,0
acta cirurgica brasileira,0,1,2,0,0,0,0,0
acta classica,2,0,0,0,0,0,0,0
acta clinica belgica,0,1,3,1,0,0,0,0
acta clinica croatica,0,1,3,1,0,0,0,0
acta crystallographica a foundation and advances,0,2,1,0,0,3,0,0
acta crystallographica section b structural science crystal engineering and materials,0,4,1,0,0,3,0,0
acta crystallographica section c structural chemistry,0,3,1,0,0,2,0,0
acta crystallographica section d structural biology,0,2,1,1,0,2,0,0
acta crystallographica section e crystallographic communications,0,2,1,0,0,3,0,0
acta crystallographica section f structural biology communications,0,2,2,1,0,2,0,0
acta cybernetica,0,3,0,0,1,1,0,0
acta cytologica,0,1,3,1,0,2,0,0
acta dermato venereologica,0,1,3,0,0,0,0,0
acta dermatovenerologica alpina pannonica et adriatica,0,0,3,0,0,0,0,0
acta dermatovenerologica croatica,0,0,2,0,0,0,0,0
acta diabetologica,0,1,3,0,0,2,0,0
acta endocrinologica bucharest,0,1,3,1,0,1,0,0
acta entomologica musei nationalis pragae,0,0,0,2,0,1,0,0
acta et commentationes universitatis tartuensis de mathematica,0,0,0,0,0,1,0,0
acta ethologica,0,1,0,2,0,1,0,0
acta facultatis medicae naissensis,0,1,2,0,0,0,0,0
acta facultatis xylologiae zvolen,0,2,0,1,0,0,0,0
acta gastro enterologica belgica,0,1,2,0,0,0,0,0
acta geochimica,0,1,0,0,0,1,0,0
acta geodaetica et geophysica,0,2,0,0,0,2,0,0
acta geodynamica et geomaterialia,0,2,0,0,0,1,0,0
acta geographica slovenica geografski zbornik,0,3,0,0,1,1,0,0
acta geologica polonica,0,2,0,1,0,2,0,0
acta geologica sinica english edition,0,1,0,0,0,1,0,0
acta geophysica,0,2,0,0,0,3,0,0
acta geotechnica,0,2,0,0,0,0,0,0
acta geotechnica slovenica,0,2,0,0,0,0,0,0
acta germanica german studies in africa,3,0,0,0,0,0,0,0
acta gymnica,0,0,2,0,0,0,0,0
acta haematologica,0,1,3,1,0,2,0,0
acta herpetologica,0,0,0,2,0,1,0,0
acta histochemica,0,1,3,3,0,2,0,0
acta histochemica et cytochemica,0,1,3,4,0,2,0,0
acta historica tallinnensia,1,0,0,0,0,0,0,0
acta histriae,2,0,0,0,0,0,0,0
acta ichthyologica et piscatoria,0,0,0,2,0,1,0,0
acta informatica,0,2,0,0,0,1,0,0
acta kinesiologica,0,1,3,0,0,0,0,0
acta koreana,2,0,0,0,0,0,0,0
acta linguistica hungarica,1,0,0,0,0,0,0,0
acta literaria,1,0,0,0,0,0,0,0
acta materialia,0,4,1,1,0,1,0,0
acta mathematica,0,0,0,0,0,1,0,0
acta mathematica hungarica,0,0,0,0,0,1,0,0
acta mathematica scientia,0,0,0,0,0,2,0,0
acta mathematica sinica english series,0,1,0,0,0,1,0,0
acta mathematica universitatis comenianae,0,0,0,0,0,1,0,0
acta mathematica vietnamica,0,0,0,0,0,1,0,0
acta mathematicae applicatae sinica english series,0,1,0,0,0,2,0,0
acta mechanica,0,4,0,0,0,0,0,0
acta mechanica et automatica,0,4,0,0,0,0,0,0
acta mechanica sinica,0,4,0,0,0,0,0,0
acta mechanica solida sinica,0,4,0,0,0,1,0,0
acta medica indonesiana,0,1,3,1,0,0,0,0
acta medica mediterranea,0,1,3,0,0,0,0,0
acta medica okayama,0,1,3,0,0,0,0,0
acta medica portuguesa,0,1,2,1,0,0,0,0
acta medico historica adriatica,1,0,3,1,0,0,0,0
acta metallurgica sinica,0,4,0,0,0,0,0,0
acta metallurgica sinica english letters,0,2,0,0,0,0,0,0
acta metallurgica slovaca,0,2,0,0,0,0,0,0
acta microbiologica et immunologica hungarica,0,1,3,1,0,1,0,0
acta microscopica,0,5,1,0,0,3,0,0
acta missiologica,0,0,0,0,1,0,1,0
acta montanistica slovaca,0,3,0,0,0,1,0,0
acta musicologica,2,0,0,0,0,0,0,0
acta naturae,0,1,3,1,0,2,0,0
acta neophilologica,2,0,0,0,0,0,0,0
acta neurobiologiae experimentalis,0,1,4,1,0,2,0,0
acta neurochirurgica,0,1,3,0,0,0,0,0
acta neurologica belgica,0,1,3,0,0,1,0,0
acta neurologica scandinavica,0,1,3,0,0,1,0,0
acta neuropathologica,0,1,4,0,0,1,0,0
acta neuropathologica communications,0,1,3,0,0,1,0,0
acta neuropsychiatrica,0,1,3,0,0,1,0,0
acta neuropsychologica,0,0,2,0,1,1,0,0
acta numerica,0,3,0,0,0,2,0,0
acta obstetricia et gynecologica scandinavica,0,1,3,0,0,0,0,0
acta oceanologica sinica,0,2,0,1,0,1,0,0
acta odontologica scandinavica,0,1,3,0,0,0,0,0
acta oecologica international journal of ecology,0,2,0,3,0,2,0,0
acta oeconomica,0,0,0,0,3,0,0,0
acta of bioengineering and biomechanics,0,7,4,3,0,3,0,0
acta oncologica,0,1,3,0,0,2,0,0
acta ophthalmologica,0,1,3,0,0,0,0,0
acta orientalia academiae scientiarum hungaricae,3,0,0,0,1,0,0,0
acta ornithologica,0,0,0,3,0,1,0,0
acta orthopaedica,0,1,3,0,0,0,0,0
acta orthopaedica belgica,0,1,1,1,0,0,0,0
acta orthopaedica et traumatologica turcica,0,1,2,1,0,0,0,0
acta ortopedica brasileira,0,1,1,0,0,0,0,0
acta oto laryngologica,0,1,3,0,0,0,0,0
acta oto laryngologica case reports,0,0,2,0,0,0,0,0
acta otorhinolaryngologica italica,0,1,2,0,0,0,0,0
acta otorrinolaringologica espanola,0,0,2,0,0,0,0,0
acta paediatrica,0,1,3,0,0,0,0,0
acta palaeontologica polonica,0,0,0,0,0,2,0,0
acta parasitologica,0,1,3,3,0,1,0,0
acta paulista de enfermagem,0,1,0,0,0,0,0,0
acta pediatrica de mexico,0,0,1,0,0,0,0,0
acta petrologica sinica,0,1,0,0,0,1,0,0
acta pharmaceutica,0,1,3,1,0,1,0,0
acta pharmaceutica sinica b,0,0,2,0,0,0,0,0
acta pharmacologica sinica,0,1,3,1,0,0,0,0
acta philosophica,1,0,0,0,0,0,0,0
acta phlebologica,0,1,2,0,0,0,0,0
acta photonica sinica,0,2,0,0,0,1,0,0
acta physica polonica a,0,4,0,3,1,3,0,0
acta physica polonica b,0,4,0,0,1,2,0,0
acta physica sinica,0,2,0,0,0,2,0,0
acta physica slovaca,0,2,0,0,0,2,0,0
acta physico chimica sinica,0,1,1,0,0,2,0,0
acta physiologiae plantarum,0,1,1,3,0,2,0,0
acta physiologica,0,1,3,1,0,1,0,0
acta phytotaxonomica et geobotanica,0,1,1,2,0,1,0,0
acta politica,2,0,0,0,2,0,0,0
acta poloniae historica,2,0,0,0,1,0,0,0
acta poloniae pharmaceutica,0,1,3,3,0,1,0,0
acta polymerica sinica,0,4,1,0,0,0,0,0
acta polytechnica,0,5,0,0,0,0,0,0
acta polytechnica hungarica,0,5,0,0,0,0,0,0
acta protozoologica,0,1,1,1,0,1,0,0
acta psiquiatrica y psicologica de america latina,0,0,1,0,1,0,0,0
acta psychiatrica scandinavica,0,0,2,0,0,0,0,0
acta psychologica,1,0,4,0,1,1,0,0
acta radiologica,0,1,3,0,0,0,0,0
acta radiologica open,0,1,2,1,0,0,0,0
acta reumatologica portuguesa,0,1,2,0,0,0,0,0
acta scientiae veterinariae,0,0,0,2,0,0,0,0
acta scientiarum mathematicarum,0,0,0,0,0,1,0,0
acta scientiarum polonorum formatio circumiectus,0,1,0,1,0,0,0,0
acta scientiarum polonorum hortorum cultus,0,1,1,2,0,1,0,0
acta scientiarum polonorum technologia alimentaria,0,1,1,3,0,0,0,0
acta scientiarum agronomy,0,0,0,1,0,0,0,0
acta scientiarum health sciences,1,1,3,1,0,0,0,0
acta scientiarum technology,1,6,1,2,2,1,0,0
acta silvae et ligni,0,0,0,1,0,0,0,0
acta societatis botanicorum poloniae,1,1,1,2,0,1,0,0
acta sociologica,0,0,0,0,1,0,0,0
acta stomatologica croatica,0,0,1,0,0,0,0,0
acta structilia,0,0,0,0,2,0,0,0
acta technica napocensis series applied mathematics mechanics and engineering,0,1,0,0,0,0,0,0
acta theologica,0,0,0,0,1,0,1,0
acta tropica,0,0,3,1,0,1,0,0
acta turistica,0,1,0,0,2,0,0,0
acta universitatis sapientiae informatica,0,1,0,0,0,1,0,0
acta universitatis sapientiae film and media studies,2,0,0,0,0,0,0,0
acta universitatis sapientiae mathematica,0,0,0,0,0,1,0,0
acta veterinaria brno,0,0,0,2,0,0,0,0
acta veterinaria hungarica,0,0,0,2,0,0,0,0
acta veterinaria scandinavica,0,1,1,2,0,0,0,0
acta veterinaria beograd,0,0,0,2,0,0,0,0
acta virologica,0,0,3,2,0,2,0,0
acta vulnologica,0,1,2,0,0,0,0,0
acta zoologica,0,1,1,3,0,1,0,0
acta zoologica academiae scientiarum hungaricae,0,0,0,2,0,1,0,0
acta zoologica bulgarica,0,0,0,2,0,1,0,0
actas dermo sifiliograficas,0,1,3,0,0,0,0,0
actas espanolas de psiquiatria,0,0,2,0,0,0,0,0
actas urologicas espanolas,0,1,2,0,0,0,0,0
actes de la recherche en sciences sociales,0,0,0,0,3,0,0,0
action learning,0,0,0,0,1,0,0,0
action research,0,0,1,0,4,0,0,0
active and passive electronic components,0,3,0,0,0,0,0,0
active learning in higher education,0,1,0,0,2,0,0,0
activitas nervosa superior rediviva,0,1,2,0,0,1,0,0
activitat parlamentaria,0,0,0,0,1,0,0,0
activites revue electronique,0,0,0,0,1,0,0,0
activities adaptation & aging,0,0,4,0,1,0,0,0
actualidad contable faces,0,0,0,0,1,0,0,0
actualidad juridica ambiental,0,0,0,0,1,0,0,0
actualidades en psicologia,0,0,0,0,1,0,0,0
actualidades pedagogicas,0,0,0,0,2,0,0,0
actualite economique,0,0,0,0,2,0,0,0
actualites pharmaceutiques,0,0,2,1,0,0,0,0
actualizaciones en osteologia,0,1,1,0,0,1,0,0
actuators,0,5,0,0,0,0,0,0
acupuncture & electro therapeutics research,0,1,3,0,0,0,0,0
acupuncture and related therapies,0,0,3,0,0,0,0,0
acupuncture in medicine,0,1,2,0,0,0,0,0
acute medicine & surgery,0,1,2,0,0,0,0,0
ad alta journal of interdisciplinary research,1,6,1,1,3,3,0,0
ad hoc & sensor wireless networks,0,4,0,0,0,2,0,0
ad hoc networks,0,2,0,0,0,1,0,0
adalya,1,0,0,0,0,0,0,0
adamantius,3,0,0,0,0,0,1,0
adansonia,0,0,0,1,0,1,0,0
adaptation the journal of literature on screen studies,2,0,0,0,0,0,0,0
adapted physical activity quarterly,0,1,3,0,0,0,0,0
adaptive behavior,1,1,2,0,2,1,0,0
adaptive human behavior and physiology,0,1,3,0,1,1,0,0
adcaij advances in distributed computing and artificial intelligence journal,0,2,0,0,0,1,0,0
adcomunica revista cientifica de estrategias tendencias e innovacion en communicacion,1,0,0,0,0,0,0,0
addicta the turkish journal on addictions,0,0,1,0,0,0,0,0
addiction,0,1,3,0,1,0,0,0
addiction biology,0,0,3,0,0,1,0,0
addiction research & theory,0,0,3,0,1,0,0,0
addiction science & clinical practice,0,1,3,0,0,0,0,0
addictive behaviors,0,0,3,0,1,1,0,0
addictive disorders & their treatment,0,1,3,0,1,0,0,0
additive manufacturing,0,5,1,0,0,1,0,0
adelaide law review,0,0,0,0,1,0,0,0
adeptus,2,0,0,0,1,0,0,0
adhd attention deficit and hyperactivity disorders,0,1,3,0,2,0,0,0
adicciones,0,1,2,0,1,0,0,0
adipocyte,0,1,4,0,0,1,0,0
admet and dmpk,0,2,2,0,0,1,0,0
ad minister,0,0,0,0,1,0,0,0
administracao publica e gestao social,0,0,0,0,2,0,0,0
administracao ensino e pesquisa,0,0,0,0,2,0,0,0
administration,0,0,0,0,3,0,0,0
administration & society,0,0,0,0,3,0,0,0
administration and policy in mental health and mental health services research,1,0,2,0,0,0,0,0
administrative law review,0,0,0,0,1,0,0,0
administrative science quarterly,1,0,0,0,3,0,0,0
administrative sciences,0,0,0,0,2,0,0,0
adolescent health medicine and therapeutics,0,1,4,0,0,0,0,0
adolescent psychiatry,0,0,2,0,0,0,0,0
adoption and fostering,1,0,1,0,3,0,0,0
adoption quarterly,1,0,1,0,2,0,0,0
adsorption science & technology,0,5,1,2,0,2,0,0
adsorption journal of the international adsorption society,0,5,1,2,0,2,0,0
adult education quarterly,0,0,0,0,1,0,0,0
adultspan journal,0,0,0,0,1,0,0,0
advanced biomedical engineering,0,4,3,1,0,1,0,0
advanced biosystems,0,3,1,0,0,1,0,0
advanced composite materials,0,5,1,1,0,1,0,0
advanced composites letters,0,5,1,0,0,0,0,0
advanced drug delivery reviews,0,2,3,0,0,1,0,0
advanced education,0,1,0,0,1,0,0,0
advanced electromagnetics,0,4,0,0,0,1,0,0
advanced electronic materials,0,4,0,0,0,1,0,0
advanced emergency nursing journal,0,0,1,0,0,0,0,0
advanced energy materials,0,5,0,0,0,1,0,0
advanced engineering informatics,0,4,0,0,0,1,0,0
advanced engineering materials,0,7,1,1,0,2,0,0
advanced functional materials,0,5,1,1,0,2,0,0
advanced healthcare materials,1,4,3,0,0,1,0,0
advanced manufacturing polymer & composites science,0,6,0,1,0,1,0,0
advanced materials,0,6,1,1,0,2,0,0
advanced materials & processes,0,4,1,1,0,1,0,0
advanced materials interfaces,0,5,1,3,0,1,0,0
advanced materials technologies,0,7,1,0,0,1,0,0
advanced nonlinear studies,0,0,0,0,0,2,0,0
advanced optical materials,0,4,0,0,0,2,0,0
advanced optical technologies,0,5,1,0,0,2,0,0
advanced pharmaceutical bulletin,0,0,3,0,0,1,0,0
advanced porous materials,0,4,1,0,0,1,0,0
advanced powder technology,0,6,1,2,0,1,0,0
advanced robotics,0,3,0,0,0,1,0,0
advanced science,0,4,2,0,0,4,0,0
advanced steel construction,0,4,0,0,0,0,0,0
advanced structural and chemical imaging,0,6,2,1,0,2,0,0
advanced sustainable systems,0,3,0,1,2,0,0,0
advanced synthesis & catalysis,0,2,1,1,0,2,0,0
advancements in life sciences,0,1,0,0,0,2,0,0
advances and applications in discrete mathematics,0,0,0,0,0,1,0,0
advances and applications in mathematical sciences,0,0,0,0,0,1,0,0
advances and applications in statistics,0,1,0,0,3,1,0,0
advances in accounting,0,0,0,0,1,0,0,0
advances in acoustics and vibration,0,6,1,0,0,1,0,0
advances in aircraft and spacecraft science,0,2,0,0,0,1,0,0
advances in anatomic pathology,0,0,3,1,0,1,0,0
advances in applied ceramics,0,5,0,0,0,1,0,0
advances in applied clifford algebras,0,1,0,0,0,2,0,0
advances in applied mathematics,0,3,0,0,0,2,0,0
advances in applied mathematics and mechanics,0,5,0,0,0,2,0,0
advances in applied probability,0,1,0,0,3,2,0,0
advances in astronomy,0,0,0,0,0,1,0,0
advances in astronomy and space physics,0,0,0,0,0,1,0,0
advances in atmospheric sciences,0,1,0,0,0,1,0,0
advances in autism,0,1,3,0,2,1,0,0
advances in building energy research,0,4,0,0,0,0,0,0
advances in calculus of variations,0,2,0,0,0,1,0,0
advances in cellular and molecular otolaryngology,0,0,2,0,0,0,0,0
advances in cement research,0,4,0,0,0,1,0,0
advances in chronic kidney disease,0,1,2,0,0,0,0,0
advances in civil engineering,0,1,0,0,0,0,0,0
advances in civil engineering materials,0,2,0,0,0,1,0,0
advances in climate change research,0,1,0,2,0,1,0,0
advances in clinical and experimental medicine,0,1,4,2,0,1,0,0
advances in cognitive psychology,0,0,1,0,1,0,0,0
advances in colloid and interface science,0,4,1,1,0,2,0,0
advances in complex systems,1,7,1,1,3,5,0,0
advances in computational design,0,3,0,0,0,1,0,0
advances in computational mathematics,0,3,0,0,0,2,0,0
advances in concrete construction,0,3,0,0,0,0,0,0
advances in condensed matter physics,0,3,0,0,0,2,0,0
advances in data analysis and classification,0,3,0,0,2,1,0,0
advances in data science and adaptive analysis,0,2,0,0,0,2,0,0
advances in developing human resources,0,0,0,0,1,0,0,0
advances in difference equations,0,0,0,0,0,1,0,0
advances in differential equations,0,1,0,0,0,1,0,0
advances in differential equations and control processes,0,1,0,0,0,1,0,0
advances in digestive medicine,0,1,2,0,0,0,0,0
advances in dual diagnosis,0,0,2,0,0,0,0,0
advances in electrical and computer engineering,0,3,0,0,0,1,0,0
advances in electrical and electronic engineering,0,2,0,0,0,0,0,0
advances in energy research,0,1,0,0,0,1,0,0
advances in engineering education,0,2,0,0,0,0,0,0
advances in engineering software,0,4,0,0,0,1,0,0
advances in environmental research an international journal,0,3,0,0,0,1,0,0
advances in fuzzy systems,0,4,0,0,2,2,0,0
advances in geometry,0,0,0,0,0,1,0,0
advances in group theory and applications,0,0,0,0,0,1,0,0
advances in health sciences education,1,1,4,1,1,0,0,0
advances in high energy physics,0,0,0,0,0,1,0,0
advances in hospitality and tourism research ahtr,0,0,1,0,2,0,0,0
advances in human biology,0,1,1,0,0,1,0,0
advances in human computer interaction,0,5,0,0,2,1,0,0
advances in integrative medicine,1,1,4,0,0,1,0,0
advances in life course research,0,0,2,0,3,0,0,0
advances in manufacturing,0,5,0,0,0,0,0,0
advances in materials research an international journal,0,4,1,0,0,0,0,0
advances in materials science,0,5,1,0,0,1,0,0
advances in materials science and engineering,0,5,1,0,0,1,0,0
advances in mathematical physics,0,0,0,0,0,3,0,0
advances in mathematics,0,0,0,0,0,1,0,0
advances in mathematics of communications,0,1,0,0,0,2,0,0
advances in mechanical engineering,0,4,0,0,0,0,0,0
advances in medical education and practice,0,1,2,0,0,0,0,0
advances in medical sciences,0,1,4,2,0,1,0,0
advances in mental health,0,0,3,0,1,0,0,0
advances in mental health and intellectual disabilities,0,0,1,0,2,0,0,0
advances in meteorology,0,1,0,2,0,3,0,0
advances in microbiology,0,1,2,4,0,2,0,0
advances in multimedia,0,3,0,0,1,1,0,0
advances in nano research,0,6,2,1,0,3,0,0
advances in neonatal care,0,1,3,1,0,0,0,0
advances in neuroimmune biology,0,1,3,0,0,2,0,0
advances in nonlinear analysis,0,3,0,0,0,1,0,0
